"","kpc_control_1.sorted.bam","kpc_control_2.sorted.bam","kpc_control_3.sorted.bam","kpc_knockdown_1.sorted.bam","kpc_knockdown_2.sorted.bam","kpc_knockdown_3.sorted.bam"
"Khdc1a",0,0,0,0,0,0
"Khdc1c",0,0,0,0,0,0
"Gm33147",0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0
"Kcnq5",1,0,0,5,1,0
"Gm53539",0,2,2,0,0,0
"Rims1",0,0,0,0,0,0
"Gm7759",0,0,0,0,0,0
"Gm7761",0,0,0,0,0,0
"Ppp1r14bl",0,0,0,0,0,0
"Gm30442",0,0,0,0,0,0
"Gm29506",0,0,0,0,0,0
"Gm24176",0,0,0,0,0,0
"Gm53541",15,11,17,21,12,8
"Mir30a",0,0,0,0,0,0
"Mir30c-2",0,0,0,0,0,0
"Ogfrl1",55,27,72,39,32,24
"Gm19673",0,0,0,0,0,0
"Gm28822",0,0,0,0,0,0
"B3gat2",1,0,1,0,0,0
"Smap1",164,103,192,112,63,43
"Gm53062",0,0,0,0,0,0
"Sdhaf4",25,18,30,21,18,15
"Fam135a",1,2,17,9,3,5
"Gm30756",1,1,1,0,0,0
"Col9a1",0,0,0,0,0,1
"Col19a1",0,0,0,0,0,0
"Gm26418",0,0,0,0,0,0
"Lmbrd1",29,24,32,32,15,29
"Gm9443",0,0,0,0,0,0
"Gm29414",0,0,0,0,0,0
"Adgrb3",0,0,0,0,0,0
"Gm20172",0,0,0,0,0,0
"Gm22260",0,0,0,0,0,0
"Gm25294",0,0,0,0,0,0
"Gm9884",0,0,0,0,0,0
"Gm39614",0,0,0,0,0,0
"Gm31076",0,0,0,0,0,0
"Gm24064",0,0,0,0,0,0
"Gm31136",0,0,0,0,0,0
"Spata31e2",0,0,0,0,0,0
"n-R5s209",0,0,0,0,0,0
"Gm5524",0,0,0,0,0,0
"Gm7846",12,6,5,7,2,4
"Spata31e5",0,0,0,0,0,0
"Gm45942",0,0,0,0,0,0
"Gm6462",0,0,0,0,0,0
"Mir6342",0,0,0,0,0,0
"Gm31465",0,0,0,0,0,0
"Gm31525",0,0,0,0,0,0
"Gm39615",0,0,0,0,0,0
"Gm31581",0,0,0,0,0,0
"Gm46086",0,0,0,0,0,0
"Gm9898",0,0,0,0,0,0
"Gm57566",0,0,0,0,0,0
"Gm2914",0,0,0,0,0,0
"Phf3",88,55,110,66,53,55
"Ptp4a1",9,5,19,12,19,10
"Gm53209",0,0,0,0,0,0
"Gm9458",0,0,0,0,0,0
"Gm29669",0,0,0,0,0,0
"Gm28644",0,0,0,0,0,0
"4931428L18Rik",0,0,0,0,0,0
"Lgsn",0,0,0,0,0,0
"Dnaaf6rt",0,0,0,0,0,0
"Gm26145",0,0,0,0,0,0
"Gm4850",0,0,0,0,0,0
"Gm57572",0,0,0,0,0,0
"Gm23032",0,0,0,0,0,0
"Gm51754",0,0,0,0,0,0
"Khdrbs2",0,0,1,0,1,2
"Gm25814",0,0,0,0,0,0
"Gm46077",0,0,0,0,0,0
"Gm9839",0,0,0,0,0,0
"Semp2l1",0,0,1,0,2,0
"Gm24732",0,0,0,0,0,0
"Gm39616",0,0,0,0,0,0
"Gm24901",0,0,0,0,0,0
"Gm39617",0,0,0,0,0,0
"Gm25792",0,0,0,0,0,0
"Gm23453",0,0,0,0,0,0
"Prim2",35,34,65,57,40,20
"Gm29228",0,0,2,2,0,0
"1700001G17Rik",0,0,3,2,1,0
"Gm32229",1,0,1,5,0,3
"Rab23",33,31,40,31,16,23
"Bag2",39,30,38,33,15,15
"Zfp451",38,28,45,23,29,16
"Gm15455",19,7,7,12,2,4
"Bend6",4,0,4,2,2,4
"Gm38471",0,1,0,1,0,0
"Dst",293,168,174,148,128,111
"Gm53546",0,1,0,0,1,0
"Gm23792",0,0,0,0,0,0
"Mir6896",0,0,0,0,0,0
"Gm51742",2,4,6,3,7,1
"Gm26788",0,0,0,0,0,0
"Gm3052",1,2,2,3,1,0
"Gm37233",0,0,2,2,0,1
"Mir5103",0,0,0,0,0,0
"n-TEttc1",0,0,0,0,0,0
"Ccdc115",18,10,30,15,14,12
"Imp4",111,73,109,64,44,49
"Gm32504",0,0,0,0,0,0
"Ptpn18",2,5,4,1,1,2
"Gm28417",1,0,0,0,0,0
"4930568A12Rik",0,0,0,0,0,0
"Gm32566",0,0,0,0,0,0
"Prss39",0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0
"Prss40",0,0,0,0,0,0
"Gm28419",0,0,0,0,0,0
"Amer3",0,0,0,0,0,0
"AA619741",0,0,0,0,0,0
"Gm38647",0,0,0,0,0,0
"Arhgef4",0,0,0,0,0,0
"Gm32920",0,0,0,0,0,0
"Gm51813",0,0,0,0,0,0
"Gm32790",0,1,4,0,3,2
"Smim39",0,0,0,0,0,0
"Fam168b",305,206,312,177,148,104
"Plekhb2",17,25,33,15,26,19
"Gm19430",0,0,0,0,0,0
"Gm53547",0,0,0,0,0,0
"Gm25096",0,0,0,0,0,0
"Gm25634",0,0,0,0,0,0
"1110002O04Rik",0,0,0,0,0,0
"Gm33176",2,0,0,0,0,0
"Gm39622",0,1,0,0,0,0
"Gm33222",0,0,0,0,0,0
"Gm39623",0,0,0,0,0,0
"Gm39624",0,0,0,0,0,0
"Hs6st1",75,76,97,69,62,49
"Gm53548",5,7,10,4,6,9
"Gm33280",0,0,0,0,2,1
"Uggt1",339,256,337,259,173,127
"Mir6897",0,0,0,0,0,0
"Gm39625",0,0,0,0,0,0
"Neurl3",9,6,22,4,5,3
"Arid5a",186,128,172,122,79,98
"Kansl3",139,104,210,127,84,79
"Mir6898",0,0,0,0,0,0
"Fer1l5",0,0,0,0,0,0
"Lman2l",52,25,36,21,18,15
"Gm33401",0,0,0,0,0,0
"Gm33454",2,0,1,0,1,2
"Cnnm4",17,14,25,8,12,9
"Cnnm3",52,52,59,47,31,27
"Ankrd23",8,9,14,14,11,1
"Ankrd39",10,12,12,6,7,5
"Sema4c",210,140,175,111,87,70
"Fam178b",13,6,3,2,5,1
"Cox5b",1564,831,1188,746,671,609
"Actr1b",490,290,346,261,165,168
"4933424G06Rik",0,0,3,0,0,0
"Gm33533",0,1,1,1,0,2
"Zap70",0,0,0,0,0,0
"Tmem131",69,39,93,43,32,30
"n-R5s210",0,0,0,0,0,0
"Vwa3b",0,1,0,0,0,0
"Gm37020",0,0,0,0,0,0
"Cnga3",0,0,0,0,0,0
"Inpp4a",16,14,22,14,7,4
"4930439A04Rik",0,0,1,0,1,0
"Coa5",59,40,69,38,27,28
"Unc50",71,73,107,54,40,15
"Mgat4a",13,2,7,11,8,7
"4930594C11Rik",0,0,1,0,0,0
"Gm39627",0,0,0,0,0,0
"Cracdl",0,1,0,4,0,0
"4930556I23Rik",0,0,0,0,0,0
"4930470B04Rik",0,0,0,0,0,0
"Gm39628",0,0,0,0,0,0
"Tsga10",0,1,1,0,1,1
"Lipt1",1,1,0,1,0,0
"Mitd1",42,29,35,37,22,30
"Mrpl30",453,308,398,304,219,188
"Lyg2",0,0,0,0,0,0
"Lyg1",0,0,0,1,0,0
"Txndc9",35,40,67,48,35,22
"Eif5b",1148,710,1266,1003,670,643
"Gm34448",1,0,0,0,0,0
"Rev1",5,3,4,5,1,3
"Gm5099",0,0,0,0,0,0
"Aff3",1,1,3,1,2,3
"Gm16150",1,0,0,1,0,0
"Gm16152",0,0,0,0,0,0
"Gm34596",0,0,0,0,0,0
"Gm57569",0,0,0,0,0,0
"Lonrf2",0,0,0,0,0,0
"Chst10",7,4,3,3,5,3
"Nms",0,0,0,0,0,0
"Gm35171",0,0,0,0,0,0
"Pdcl3",127,83,121,90,57,50
"Gm35222",0,0,0,0,1,0
"Mir6349",0,0,0,0,0,0
"Npas2",1,0,0,0,0,0
"Gm53549",0,0,0,0,0,0
"Rpl31",2540,1538,2663,2446,2054,1605
"Tbc1d8",2,2,5,5,3,1
"Gm24826",0,0,0,0,0,0
"Gm53550",6,3,5,7,3,2
"Cnot11",111,68,117,77,47,50
"Snord89",0,0,0,0,0,0
"Rnf149",1456,929,1074,456,271,283
"Gm23722",0,0,0,0,0,0
"Gm51620",0,0,0,0,0,0
"Gm5100",5,4,4,1,3,0
"Creg2",1,1,5,0,3,1
"D930019O06Rik",2,0,0,0,0,0
"Rfx8",1,0,0,0,0,1
"Gm3646",0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0
"Gm35600",0,0,0,0,0,0
"Map4k4",842,544,676,372,269,272
"Gm16894",0,0,0,1,0,0
"Il1r2",4,2,7,0,1,0
"Gm35741",0,0,0,0,0,0
"Il1r1",77,53,118,51,25,23
"Il1rl2",19,11,16,9,8,7
"Il1rl1",421,236,440,241,148,126
"Il18r1",1,0,1,0,2,0
"Il18rap",101,100,120,80,49,52
"Gm35801",0,0,0,0,0,0
"Slc9a4",0,3,2,0,0,3
"Gm37435",0,0,0,0,0,0
"Slc9a2",1,0,0,0,0,0
"Gm37915",0,0,0,0,0,0
"Mfsd9",5,1,3,3,0,0
"Tmem182",0,0,0,0,0,0
"4930448I06Rik",0,0,0,0,0,0
"Gm53551",0,0,0,0,0,0
"Gm39631",0,0,0,0,0,0
"Gm35935",0,0,0,0,0,0
"Gm29260",0,0,0,0,1,0
"Gm28175",0,0,1,0,0,0
"Gm46088",0,0,0,0,0,0
"Gm36678",0,0,0,0,0,0
"Gm37047",0,0,0,0,0,0
"Gm46089",0,0,0,0,0,0
