name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Kmt2b,79.9,75.6,83.2,1.084,0.1,0.31,0.38,7.0e-01,1.0e+00,0.914,14079,60,77.6,89.1,96.4,116,56.2,64
Vcf2,41.5,39.3,43.1,1.088,0.1,0.32,0.38,7.0e-01,1.0e+00,0.914,14080,48,25.4,44.6,35.6,43.9,50.5,42.6
Ccdc191,40.3,41.8,39.2,0.924,-0.1,0.3,-0.38,7.0e-01,1.0e+00,0.914,14080,42.5,34.4,48.6,45,42.3,37,32.4
Zfp335,59.2,61.2,57.7,0.926,-0.1,0.29,-0.38,7.0e-01,1.0e+00,0.9143,14085,55.4,58.5,69.7,69.1,69,39,53.8
P2rx5,5,4.1,5.7,1.275,0.4,0.93,0.38,7.0e-01,1.0e+00,0.9143,14086,7.4,0,4.9,5.2,11,4.5,1.9
Ecm1,2737.6,2808.4,2684.6,0.955,-0.1,0.17,-0.38,7.0e-01,1.0e+00,0.9145,14090,3517,2329.8,2578.3,2576.9,2937,2649.3,2575
Thrb,14.8,15.7,14.1,0.888,-0.2,0.45,-0.38,7.0e-01,1.0e+00,0.9146,14093,19.4,14,13.8,11.5,17.2,14.7,13
Sytl4,23.1,21.6,24.2,1.123,0.2,0.44,0.38,7.1e-01,1.0e+00,0.9148,14097,9.2,30.5,25.1,19.9,28.2,21.7,26.9
Gm32788,23.3,24.9,22,0.862,-0.2,0.57,-0.38,7.1e-01,1.0e+00,0.9148,14098,17.5,36.9,20.3,13.6,50.2,16,8.3
Cfap157,1.7,2,1.4,0.704,-0.5,1.34,-0.38,7.1e-01,1.0e+00,NA,NA,2.8,2.5,0.8,0,1.6,1.3,2.8
Zfp51,7.1,7.7,6.6,0.824,-0.3,0.74,-0.38,7.1e-01,1.0e+00,0.9149,14101,4.6,3.8,14.6,10.5,6.3,3.2,6.5
Myh11,51.3,53.9,49.2,0.929,-0.1,0.28,-0.38,7.1e-01,1.0e+00,0.9149,14102,58.2,53.4,50.2,49.2,34.5,56.8,56.5
Ndufa3,1370.3,1335.3,1396.6,1.047,0.1,0.17,0.38,7.1e-01,1.0e+00,0.9149,14103,1068.3,1483.6,1454,1425.7,1309.3,1608.2,1243
Gcnt4,14.1,15.2,13.3,0.882,-0.2,0.48,-0.38,7.1e-01,1.0e+00,0.9149,14104,14.8,17.8,13,18.9,12.5,13.4,8.3
Rtl9,0.9,1.1,0.8,0.625,-0.7,1.79,-0.38,7.1e-01,1.0e+00,NA,NA,0.9,0,2.4,0,1.6,0.6,0.9
Adamtsl5,151.2,155,148.3,0.952,-0.1,0.19,-0.38,7.1e-01,1.0e+00,0.9149,14106,175.4,134.9,154.7,144.6,158.4,149.5,140.9
Gm47438,3.1,3.5,2.8,0.775,-0.4,0.97,-0.38,7.1e-01,1.0e+00,0.9149,14107,2.8,1.3,6.5,3.1,3.1,3.2,1.9
Prelid3a,2.2,2.6,1.9,0.723,-0.5,1.24,-0.38,7.1e-01,1.0e+00,NA,NA,0.9,3.8,3.2,5.2,0,1.3,0.9
Tsfm,94.1,91.1,96.3,1.06,0.1,0.22,0.38,7.1e-01,1.0e+00,0.915,14110,96,104.3,72.9,99.5,101.9,89.4,94.5
Ccdc17,13.3,14.2,12.6,0.88,-0.2,0.49,-0.38,7.1e-01,1.0e+00,0.915,14111,20.3,10.2,12.2,12.6,12.5,14.1,11.1
Gng13,3.4,2.9,3.8,1.348,0.4,1.14,0.38,7.1e-01,1.0e+00,0.915,14111,6.5,1.3,0.8,0,3.1,6.4,5.6
Lrp12,20.7,19.3,21.9,1.111,0.2,0.4,0.38,7.1e-01,1.0e+00,0.915,14112,15.7,17.8,24.3,21,25.1,17.2,24.1
Erp29,1293.8,1334.7,1263.2,0.948,-0.1,0.2,-0.38,7.1e-01,1.0e+00,0.9152,14116,1129.3,1727.9,1147,1148.1,1058.4,1368.7,1477.5
Gm6625,30.5,28.9,31.7,1.105,0.1,0.38,0.38,7.1e-01,1.0e+00,0.9152,14117,26.8,33.1,26.7,41.9,22,21.1,41.7
Prkd3,117,112.3,120.4,1.064,0.1,0.24,0.38,7.1e-01,1.0e+00,0.9156,14124,113.6,84,139.3,126.7,112.9,102.2,140
Gm38396,2.5,2.1,2.8,1.358,0.4,1.18,0.38,7.1e-01,1.0e+00,NA,NA,0,3.8,2.4,3.1,4.7,2.6,0.9
Mta2,337.7,327.6,345.3,1.058,0.1,0.22,0.38,7.1e-01,1.0e+00,0.9156,14126,254.8,409.7,318.3,277.6,345,418.3,340.2
Tmem175,65.3,62.8,67.2,1.075,0.1,0.28,0.38,7.1e-01,1.0e+00,0.9156,14127,81.3,49.6,57.5,69.1,56.5,83,60.3
Gpr137b,27.2,28.3,26.4,0.903,-0.1,0.39,-0.38,7.1e-01,1.0e+00,0.9156,14128,30.5,20.4,34,31.4,36.1,19.8,18.5
Apob,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
C5ar2,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
D030007L05Rik,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gfy,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm12502,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm13446,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm1968,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm20471,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm23264,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm2808,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm29952,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm3134,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm31344,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm31510,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm33489,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm35369,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm35524,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm35595,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm35641,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm38137,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm40026,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm41588,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm41806,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm42253,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm42338,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm46038,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm46162,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm46603,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm57788,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm57791,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm6526,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm6961,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm8274,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Kcng3,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Kcnt1,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Kel,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Kiss1,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
LOC108168673,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
LOC119919412,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Lmx1b,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Lypd6b,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Ninj2,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Ppp1r42,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Ptprn2,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Rasef,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Rps12-ps13,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Sorcs3,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Sostdc1,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Ticam2,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Ttll6,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Zfp977,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Zic2,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
n-TPtgg8,0.2,0,0.4,2.597,1.4,3.66,0.38,7.1e-01,1.0e+00,NA,NA,0,0,0,1,0,0.6,0
Gm46293,2.2,2.6,1.9,0.725,-0.5,1.24,-0.38,7.1e-01,1.0e+00,NA,NA,0,3.8,4.1,1,3.1,2.6,0.9
Zswim3,13.2,14,12.6,0.88,-0.2,0.49,-0.38,7.1e-01,1.0e+00,0.9156,14179,10.2,16.5,15.4,12.6,17.2,9.6,11.1
Znrf2,59.2,57,60.8,1.073,0.1,0.27,0.38,7.1e-01,1.0e+00,0.9156,14180,54.5,53.4,63.2,72.3,42.3,60,68.6
4930500F10Rik,1.7,2,1.4,0.723,-0.5,1.24,-0.38,7.1e-01,1.0e+00,NA,NA,1.8,2.5,1.6,1,1.6,1.3,1.9
Rabif,173.1,168.2,176.8,1.054,0.1,0.2,0.38,7.1e-01,1.0e+00,0.9156,14181,151.4,174.3,179,190.6,170.9,203.7,141.8
Atp6v0e2,31.2,33.1,29.8,0.898,-0.2,0.42,-0.38,7.1e-01,1.0e+00,0.9156,14182,52.6,21.6,25.1,36.7,28.2,35.8,18.5
Tnfrsf25,10.3,10.9,9.8,0.858,-0.2,0.59,-0.38,7.1e-01,1.0e+00,0.9156,14183,8.3,14,10.5,9.4,17.2,5.1,7.4
Tvp23b,191.7,199,186.2,0.942,-0.1,0.23,-0.38,7.1e-01,1.0e+00,0.9156,14184,182.8,197.2,217.1,185.4,122.3,214.6,222.5
Plxnb3,0.7,0.9,0.5,0.573,-0.8,2.14,-0.38,7.1e-01,1.0e+00,NA,NA,1.8,0,0.8,1,0,0,0.9
Rbx1,431.5,442.2,423.4,0.953,-0.1,0.19,-0.38,7.1e-01,1.0e+00,0.9156,14186,439.5,372.8,514.4,418,508.1,404.3,363.4
Gm33548,1.3,0.9,1.6,1.555,0.6,1.7,0.38,7.1e-01,1.0e+00,NA,NA,1.8,0,0.8,1,4.7,0.6,0
9630025H16Rik,0.5,0.3,0.7,1.934,1,2.54,0.38,7.1e-01,1.0e+00,NA,NA,0.9,0,0,0,1.6,1.3,0
Gm35438,0.5,0.3,0.7,1.934,1,2.54,0.38,7.1e-01,1.0e+00,NA,NA,0.9,0,0,0,1.6,1.3,0
Gm39962,0.5,0.3,0.7,1.934,1,2.54,0.38,7.1e-01,1.0e+00,NA,NA,0.9,0,0,0,1.6,1.3,0
Or55b3,0.5,0.3,0.7,1.934,1,2.54,0.38,7.1e-01,1.0e+00,NA,NA,0.9,0,0,0,1.6,1.3,0
Il11,220.8,201.5,235.3,1.172,0.2,0.61,0.37,7.1e-01,1.0e+00,0.916,14198,81.3,389.4,133.7,199,172.5,356.4,213.2
Isoc2b,39.5,42,37.7,0.907,-0.1,0.38,-0.37,7.1e-01,1.0e+00,0.916,14199,33.2,43.3,49.4,17.8,36.1,50.5,46.3
Gm22063,1,1.3,0.7,0.571,-0.8,2.16,-0.37,7.1e-01,1.0e+00,NA,NA,0,3.8,0,0,1.6,1.3,0
Uhrf2,198.8,194,202.4,1.046,0.1,0.17,0.37,7.1e-01,1.0e+00,0.916,14201,202.2,178.1,201.7,196.9,181.9,219.7,211.3
Rnf24,11.3,12.2,10.7,0.864,-0.2,0.56,-0.37,7.1e-01,1.0e+00,0.916,14202,8.3,15.3,13,16.8,12.5,7,6.5
Samd12,2.2,1.7,2.5,1.393,0.5,1.28,0.37,7.1e-01,1.0e+00,NA,NA,1.8,2.5,0.8,0,6.3,1.9,1.9
Papss2,104.4,100.4,107.4,1.08,0.1,0.29,0.37,7.1e-01,1.0e+00,0.916,14204,73.9,104.3,123.1,124.7,61.2,133.5,110.3
Gm40309,26.1,24.2,27.5,1.11,0.2,0.4,0.37,7.1e-01,1.0e+00,0.916,14205,18.5,26.7,27.5,18.9,40.8,19.8,30.6
Lrrc28,33.9,32.5,34.9,1.087,0.1,0.32,0.37,7.1e-01,1.0e+00,0.916,14205,34.2,31.8,31.6,41.9,26.7,39.6,31.5
C2cd4a,2.5,2.2,2.8,1.348,0.4,1.15,0.37,7.1e-01,1.0e+00,NA,NA,2.8,3.8,0,4.2,1.6,2.6,2.8
Mrpl33,708.3,728.4,693.2,0.952,-0.1,0.19,-0.37,7.1e-01,1.0e+00,0.916,14207,538.3,838.5,808.4,648.4,752.7,733.9,637.7
Ints4,111.2,107.5,113.9,1.055,0.1,0.21,0.37,7.1e-01,1.0e+00,0.916,14208,97.9,105.6,119.1,99.5,122.3,110.5,123.3
Rgs20,2.4,1.9,2.8,1.393,0.5,1.28,0.37,7.1e-01,1.0e+00,NA,NA,0,2.5,3.2,0,4.7,2.6,3.7
Tbc1d4,39.6,37.8,40.9,1.084,0.1,0.31,0.37,7.1e-01,1.0e+00,0.9161,14211,27.7,42,43.7,44,37.6,35.8,46.3
Pcdhgb1,0.9,0.6,1.1,1.689,0.8,2.02,0.37,7.1e-01,1.0e+00,NA,NA,1.8,0,0,1,1.6,0,1.9
Papln,2.2,2.6,1.9,0.732,-0.5,1.21,-0.37,7.1e-01,1.0e+00,NA,NA,2.8,2.5,2.4,0,1.6,1.3,4.6
Itfg1,141.1,135.4,145.3,1.076,0.1,0.28,0.37,7.1e-01,1.0e+00,0.9161,14214,93.3,120.9,192,144.6,116,191,129.8
Armc10,82.9,86.3,80.3,0.93,-0.1,0.28,-0.37,7.1e-01,1.0e+00,0.9161,14215,111.7,57.3,89.9,92.2,59.6,84.9,84.4
Smchd1,53.9,51.4,55.8,1.079,0.1,0.29,0.37,7.1e-01,1.0e+00,0.9161,14216,36,50.9,67.2,52.4,56.5,51.1,63
Gm9734,16,14.4,17.2,1.157,0.2,0.56,0.37,7.1e-01,1.0e+00,0.9161,14216,20.3,11.5,11.3,25.1,26.7,7,10.2
Zbed6,50.9,47.8,53.2,1.097,0.1,0.36,0.37,7.1e-01,1.0e+00,0.9161,14217,34.2,50.9,58.3,72.3,69,36.4,35.2
Arl6,74.3,71.3,76.6,1.073,0.1,0.27,0.37,7.1e-01,1.0e+00,0.9161,14218,84,52.2,77.8,92.2,56.5,73.4,84.4
Spag4,6.4,5.8,6.8,1.219,0.3,0.77,0.37,7.1e-01,1.0e+00,0.9161,14219,5.5,10.2,1.6,4.2,9.4,8.9,4.6
Airim,30.4,28.8,31.7,1.091,0.1,0.34,0.37,7.1e-01,1.0e+00,0.9161,14220,24.9,24.2,37.3,30.4,31.4,32.6,32.4
Gm38728,4.4,3.9,4.8,1.236,0.3,0.82,0.37,7.1e-01,1.0e+00,0.9161,14221,3.7,3.8,4.1,3.1,7.8,5.7,2.8
Garnl3,81.1,84.1,78.9,0.925,-0.1,0.3,-0.37,7.1e-01,1.0e+00,0.9161,14222,118.2,52.2,81.8,67,103.5,70.9,74.2
St7l,70.8,74.6,68,0.921,-0.1,0.32,-0.37,7.1e-01,1.0e+00,0.9161,14223,61.9,62.3,99.6,63.9,40.8,93.2,74.2
Egln2,309.7,318.6,303.1,0.947,-0.1,0.21,-0.37,7.1e-01,1.0e+00,0.9161,14224,308.4,357.5,290,268.2,409.3,248.5,286.4
Pck2,329.8,322.3,335.3,1.04,0.1,0.15,0.37,7.1e-01,1.0e+00,0.9161,14225,293.6,348.6,324.8,317.4,349.7,323.8,350.4
Plekhf2,30.4,29.2,31.4,1.09,0.1,0.33,0.37,7.1e-01,1.0e+00,0.9161,14226,29.5,28,30,36.7,23.5,35.8,29.7
Dcp1b,42,43.5,40.9,0.92,-0.1,0.32,-0.37,7.1e-01,1.0e+00,0.9161,14227,57.2,34.4,38.9,38.8,51.7,31.3,41.7
Creg2,3,3.5,2.6,0.752,-0.4,1.11,-0.37,7.1e-01,1.0e+00,NA,NA,5.5,2.5,2.4,4.2,0,0.6,5.6
S1pr1,26.9,28.9,25.4,0.903,-0.1,0.4,-0.37,7.1e-01,1.0e+00,0.9161,14228,24,34.4,28.4,15.7,18.8,31.9,35.2
Git1,937.1,977.1,907.1,0.93,-0.1,0.28,-0.37,7.1e-01,1.0e+00,0.9161,14229,694.4,1563.8,673.1,906.1,751.1,998.9,972.3
Gpank1,46.4,43.9,48.2,1.079,0.1,0.3,0.37,7.1e-01,1.0e+00,0.9161,14230,54.5,34.4,42.9,53.4,54.9,40.2,44.5
Zfp628,72.9,70.7,74.4,1.064,0.1,0.24,0.37,7.1e-01,1.0e+00,0.9161,14231,68.3,84,59.9,69.1,72.1,76,80.6
Dynlt2b,49,51.5,47.1,0.93,-0.1,0.28,-0.37,7.1e-01,1.0e+00,0.9161,14232,56.3,56,42.1,42.9,40.8,53,51.9
Lyrm4,34.5,36.1,33.3,0.923,-0.1,0.31,-0.37,7.1e-01,1.0e+00,0.9161,14233,36,31.8,40.5,38.8,28.2,33.9,32.4
Elof1,416.5,406.8,423.7,1.046,0.1,0.18,0.37,7.1e-01,1.0e+00,0.9161,14234,363.8,446.6,409.9,416.9,341.8,457.9,478.3
Dynlt3,112.5,115.8,110,0.942,-0.1,0.23,-0.37,7.1e-01,1.0e+00,0.9161,14235,108,92.9,146.6,99.5,122.3,118.8,99.2
Mdrl,5.2,4.5,5.8,1.237,0.3,0.82,0.37,7.1e-01,1.0e+00,0.9161,14236,2.8,2.5,8.1,2.1,9.4,7,4.6
C920009B18Rik,0.5,0.3,0.7,1.934,1,2.56,0.37,7.1e-01,1.0e+00,NA,NA,0,0,0.8,0,1.6,1.3,0
Gm40930,0.5,0.3,0.7,1.934,1,2.56,0.37,7.1e-01,1.0e+00,NA,NA,0,0,0.8,0,1.6,1.3,0
Wee2,0.5,0.3,0.7,1.934,1,2.56,0.37,7.1e-01,1.0e+00,NA,NA,0,0,0.8,0,1.6,1.3,0
Gm32655,5.2,6,4.6,0.802,-0.3,0.85,-0.37,7.1e-01,1.0e+00,0.9162,14242,6.5,5.1,6.5,6.3,1.6,9.6,0.9
Snord78,1,0.7,1.2,1.62,0.7,1.87,0.37,7.1e-01,1.0e+00,NA,NA,0,1.3,0.8,2.1,1.6,0,0.9
Tedc1,38.7,41.5,36.7,0.903,-0.1,0.4,-0.37,7.1e-01,1.0e+00,0.9163,14245,24.9,71.3,28.4,44,29.8,35.8,37.1
Lipt1,4.7,4.1,5.1,1.252,0.3,0.87,0.37,7.1e-01,1.0e+00,0.9164,14247,8.3,2.5,1.6,6.3,1.6,5.1,7.4
Prelid3b,265.3,258.2,270.6,1.054,0.1,0.2,0.37,7.1e-01,1.0e+00,0.9164,14248,231.8,265.9,277,298.5,192.9,305.3,285.5
Arf3,349.6,358.7,342.8,0.959,-0.1,0.16,-0.37,7.1e-01,1.0e+00,0.9164,14249,387.8,362.6,325.6,300.6,332.4,383.2,355
Vrk3,172.3,165.9,177.2,1.056,0.1,0.21,0.37,7.1e-01,1.0e+00,0.9164,14250,177.3,137.4,183.1,159.2,221.1,149.5,178.9
Gm57631,3.3,3.6,3,0.785,-0.3,0.94,-0.37,7.1e-01,1.0e+00,0.9164,14251,5.5,1.3,4.1,3.1,3.1,1.9,3.7
C230012O17Rik,1.1,1.4,0.8,0.65,-0.6,1.67,-0.37,7.1e-01,1.0e+00,NA,NA,0,2.5,1.6,1,0,1.3,0.9
Kank3,25.2,26.4,24.4,0.899,-0.2,0.41,-0.37,7.1e-01,1.0e+00,0.9166,14255,34.2,16.5,28.4,21,36.1,24.9,15.8
A830049F12Rik,3.6,3,4,1.275,0.4,0.94,0.37,7.1e-01,1.0e+00,0.9166,14256,3.7,1.3,4.1,2.1,6.3,5.7,1.9
Tm6sf1,1.8,2.1,1.5,0.71,-0.5,1.33,-0.37,7.1e-01,1.0e+00,NA,NA,0.9,3.8,1.6,1,3.1,1.9,0
Gm6794,2.6,2.2,2.9,1.319,0.4,1.08,0.37,7.1e-01,1.0e+00,NA,NA,0.9,2.5,3.2,3.1,3.1,4.5,0.9
Tex9,25.9,24.6,27,1.1,0.1,0.37,0.37,7.1e-01,1.0e+00,0.9166,14259,20.3,26.7,26.7,37.7,22,24.9,23.2
Lrrfip2,244.3,236,250.5,1.056,0.1,0.21,0.37,7.1e-01,1.0e+00,0.9166,14260,249.3,239.2,219.5,254.5,326.2,235,186.3
A430078I02Rik,1.6,1.1,2,1.572,0.7,1.76,0.37,7.1e-01,1.0e+00,NA,NA,0,0,3.2,0,6.3,0.6,0.9
Coq7,108.7,105.7,110.9,1.058,0.1,0.22,0.37,7.1e-01,1.0e+00,0.9166,14262,92.3,108.2,116.6,117.3,86.2,123.3,116.8
Tmt1b,7.1,6.4,7.7,1.195,0.3,0.69,0.37,7.1e-01,1.0e+00,0.9166,14263,11.1,2.5,5.7,5.2,6.3,10.9,8.3
Alox12e,3.2,3.5,2.9,0.777,-0.4,0.98,-0.37,7.1e-01,1.0e+00,0.9166,14264,6.5,2.5,1.6,3.1,4.7,1.9,1.9
Polr3b,61.5,59.2,63.2,1.07,0.1,0.26,0.37,7.1e-01,1.0e+00,0.9166,14265,51.7,70,55.9,76.5,61.2,53,62.1
Zfp30,32.9,30.5,34.7,1.108,0.1,0.4,0.37,7.1e-01,1.0e+00,0.9166,14265,42.5,19.1,30,46.1,43.9,25.5,23.2
Fam241a,14.9,13.9,15.6,1.144,0.2,0.52,0.37,7.1e-01,1.0e+00,0.9166,14266,5.5,21.6,14.6,21,14.1,15.3,12.1
Ddx25,1.4,1.7,1.2,0.706,-0.5,1.36,-0.37,7.1e-01,1.0e+00,NA,NA,1.8,2.5,0.8,1,1.6,1.3,0.9
Prkra,125.3,130.2,121.6,0.941,-0.1,0.24,-0.37,7.1e-01,1.0e+00,0.9166,14268,144,117.1,129.6,130.9,80,132.8,142.7
Slc2a4,1.4,1.1,1.6,1.505,0.6,1.6,0.37,7.1e-01,1.0e+00,NA,NA,0,2.5,0.8,2.1,1.6,2.6,0
Magef1,8.2,9.2,7.4,0.848,-0.2,0.65,-0.37,7.1e-01,1.0e+00,0.9166,14270,5.5,11.5,10.5,9.4,3.1,11.5,5.6
Gtse1,36.6,34.9,37.9,1.12,0.2,0.44,0.37,7.1e-01,1.0e+00,0.9166,14271,22.2,59.8,22.7,51.3,18.8,45.3,36.2
Ncf4,3.2,3.7,2.8,0.785,-0.3,0.94,-0.37,7.1e-01,1.0e+00,0.9166,14272,3.7,5.1,2.4,2.1,1.6,4.5,2.8
Slc25a5,881.9,858.5,899.5,1.049,0.1,0.19,0.37,7.1e-01,1.0e+00,0.9166,14273,725.7,855,994.7,975.2,685.2,960.6,977
Kcna3,2.3,1.9,2.6,1.369,0.5,1.23,0.37,7.1e-01,1.0e+00,NA,NA,3.7,1.3,0.8,0,3.1,4.5,2.8
Zfp821,78.9,81.4,76.9,0.934,-0.1,0.27,-0.37,7.1e-01,1.0e+00,0.9166,14275,83.1,80.2,81,97.4,86.2,51.7,72.3
Gm40096,1.3,1,1.5,1.483,0.6,1.54,0.37,7.1e-01,1.0e+00,NA,NA,0.9,1.3,0.8,1,3.1,1.9,0
Arid5a,253.4,246,259,1.053,0.1,0.2,0.37,7.1e-01,1.0e+00,0.9166,14276,301.9,218.9,217.1,245.1,274.4,297,219.7
Btbd6,48.3,50.8,46.5,0.928,-0.1,0.29,-0.37,7.1e-01,1.0e+00,0.9166,14277,50.8,63.6,38.1,54.5,40.8,47.9,42.6
Prrc1,741.9,725.1,754.6,1.043,0.1,0.17,0.37,7.1e-01,1.0e+00,0.9166,14278,611.3,839.8,724.2,740.6,661.7,822.6,793.4
Thap7,126.8,130.7,123.8,0.949,-0.1,0.21,-0.37,7.1e-01,1.0e+00,0.9166,14279,116.3,128.5,147.4,125.7,108.2,118.8,142.7
Selenoo,3.3,3.7,3,0.79,-0.3,0.92,-0.37,7.1e-01,1.0e+00,0.9166,14280,3.7,5.1,2.4,4.2,3.1,2.6,1.9
