Col24a1,97.7,37.9,142.5,3.745,1.9,0.3,6.4,1.6e-10,3.7e-06,0,0,48,38.2,27.5,162.4,180.3,100.3,127
Cpe,103.7,40.9,150.8,3.719,1.9,0.32,5.95,2.7e-09,6.4e-05,0,0,56.3,42,24.3,183.3,105.1,132.2,182.6
Cryab,1752.9,985,2328.8,2.364,1.2,0.19,6.48,9.1e-11,2.2e-06,0,0,1238.2,941.6,775.2,1952.6,2524.6,2500.5,2337.7
Csf1r,208,118.1,275.4,2.345,1.2,0.21,5.87,4.4e-09,1.1e-04,0,0,92.3,152.7,109.4,276.5,302.6,253.6,268.8
Ctsc,553.9,248.7,782.7,3.151,1.7,0.24,6.85,7.3e-12,1.7e-07,0,0,181.9,271,293.2,927,537.8,734.5,931.6
Cxadr,320.4,110,478.1,4.348,2.1,0.32,6.7,2.0e-11,4.8e-07,0,0,172.7,105.6,51.8,476.6,578.6,415.2,442.1
Cygb,3242.4,4567.6,2248.6,0.492,-1,0.13,-7.71,1.3e-14,3.1e-10,0,0,5047,4246,4409.7,2279.4,2162.4,2427,2125.4
Cyp4b1,84.4,160.5,27.3,0.168,-2.6,0.36,-7.18,6.7e-13,1.6e-08,0,0,211.4,112,158,27.2,37.6,33.2,11.1
D630010B17Rik,87.2,39.2,123.1,3.196,1.7,0.3,5.56,2.8e-08,6.6e-04,0,0,35.1,57.3,25.1,116.3,142.7,96.4,137.2
Dab2,239.6,142.3,312.6,2.192,1.1,0.22,5.13,2.9e-07,7.0e-03,0,0,175.4,105.6,145.8,326.8,246.2,320.6,356.9
Ddr2,453.2,625.7,323.8,0.517,-1,0.19,-5.1,3.4e-07,8.0e-03,0,0,568.8,595.5,712.8,276.5,370.1,372.4,276.2
Dusp4,235.3,96.5,339.4,3.537,1.8,0.19,9.48,2.5e-21,5.9e-17,0,0,83.1,113.2,93.2,340.4,337.1,300.2,380
Ebf1,398.4,558.4,278.4,0.498,-1,0.2,-5.12,3.0e-07,7.2e-03,0,0,561.4,432.6,681.2,254.5,280.7,316.8,261.4
Ebf2,108.7,161.6,69,0.428,-1.2,0.24,-5.04,4.7e-07,1.1e-02,0,0,136.7,151.4,196.8,60.8,61.2,65.1,89
Edn1,90.1,160.2,37.6,0.232,-2.1,0.31,-6.81,1.0e-11,2.4e-07,0,0,201.3,101.8,177.4,44,43.9,38.3,24.1
Efemp1,662.8,1170.4,282.2,0.241,-2.1,0.37,-5.56,2.8e-08,6.6e-04,0,0,1232.7,501.3,1777.2,216.8,260.3,447.7,203.9
Egln3,399.8,106.8,619.4,5.839,2.5,0.33,7.7,1.4e-14,3.3e-10,0,0,122.8,154,43.7,615.9,644.5,465.6,751.7
Eng,862.7,1352.8,495.1,0.367,-1.4,0.22,-6.62,3.7e-11,8.7e-07,0,0,1057.2,1660.5,1340.6,423.2,403,636.1,518.2
Entpd2,980.1,1589.4,523,0.329,-1.6,0.27,-5.92,3.1e-09,7.4e-05,0,0,1725.7,1132.4,1910,355.1,537.8,766.4,432.9
Epas1,422.5,644.4,256.1,0.397,-1.3,0.26,-5.11,3.2e-07,7.6e-03,0,0,786.7,564.9,581.6,165.5,335.6,319.3,203.9
Ero1a,281.1,139.5,387.3,2.798,1.5,0.23,6.43,1.3e-10,3.1e-06,0,0,149.6,180.7,88.3,397,377.9,385.1,389.3
Esyt1,1003,1364.8,731.6,0.537,-0.9,0.17,-5.28,1.3e-07,3.1e-03,0,0,1385.9,1381.8,1326.8,603.4,715,908.2,699.8
Fam162a,847.6,513.6,1098,2.142,1.1,0.2,5.5,3.9e-08,9.2e-04,0,0,457.1,673.1,410.7,1007.7,1262.3,1106.2,1015.9
