"","control_1","control_2","control_3","knockdown_1","knockdown_2","knockdown_3"
"Stat1",3.82357630223872,3.30972428384785,3.0041876367345,3.51481038228478,3.39373082213398,2.36460956107877
"Gls",5.8958582888681,5.71247048099289,5.97071608440467,5.62972223896423,5.85899767636053,5.62486554379175
"Nab1",4.47837694655036,4.65153026178382,5.65483042644061,4.92938854283943,4.62337510705286,5.53899720322174
"Gm5527",4.4265190758366,3.70584472554122,3.98166293942722,4.3066949743307,4.83529470492732,4.22450899127335
"Nemp2",2.5911518385325,1.46182044596844,1.25901527761821,2.43110014787153,2.22044522626453,2.1496800123419
"Mfsd6",4.39088175069293,4.68956190852688,5.07724664551724,4.58313857968279,4.90737253935989,4.80534296125946
"Inpp1",2.5911518385325,3.02245021917611,2.34319264003948,3.32728543452318,2.96884255183585,2.71716870995527
"Hibch",3.02228029476958,2.25358008780342,4.076412900801,3.07240562731848,2.55559668513252,3.48661959579657
"Pms1",0.382607551416998,1.7764917174018,1.41219362814258,1.38214180339609,1.78309583063871,2.36460956107877
"Ormdl1",3.8760728295363,3.34192231615362,4.50895555909197,3.70663066802098,3.13816984764143,4.76808584172875
"Osgepl1",3.65354942025939,3.89133146454953,3.34596272362303,3.45497006262275,3.3252134846271,3.61806500577262
"Asnsd1",5.72749729936393,5.39715975081567,5.92688601578657,5.94999159637467,5.69897467924995,5.97476073147648
"Stk17b",3.35377751737055,2.80869913062234,3.79921981219419,3.89855366577352,3.63926284439274,3.81358824190298
"Gtf3c3",4.29773567686957,3.73037727862703,3.42010166972651,4.63798743939966,4.45722550343325,4.25175635245653
"Pgap1",5.7557905726298,5.54969230429286,6.1060160686034,6.45277071783843,6.22611169679474,6.7036924628538
"Ankrd44",2.38923070284366,2.1842357064517,1.90063815606268,2.15840608504692,1.15244687792339,2.26114355753582
"Sf3b1",7.773354416955,7.47557451232208,7.44936714754227,7.7124306834963,7.65889092260065,7.49021450284598
"Coq10b",2.38923070284366,3.99621125683959,4.65427179979694,4.76662631939747,3.74795142969877,4.58738687302213
"Hspd1",9.70520788235531,9.64808486717008,9.88048948767388,10.0750217446861,9.55035021217744,9.76988998167629
"Hspe1",9.34328141963441,9.13212717254806,9.16144677706267,9.23679965461219,9.23557064164353,9.16399978599931
"Mob4",6.34548609347722,6.32928362931416,5.96453558376558,6.42184567258021,6.29937934324917,6.17306732397758
"Mars2",2.15437669260835,2.50176993069097,3.14200996163758,3.14993628827931,2.72472568010465,3.18122132528013
"Gm8292",5.30761699743987,5.23516993181256,5.77976798969364,5.16238247287077,5.11441740447802,4.82361681731794
"Gm6644",8.31976588963134,8.67807455434245,8.36984160441552,8.09833525632888,8.14475530673677,7.95345030185825
"1700066M21Rik",0.64711639856469,2.03466788228873,2.48811059456933,2.60636380966635,1.88181564207747,2.1496800123419
"Tyw5",2.92596702447778,3.65549149184337,3.65315389717225,4.18304814308887,3.63926284439274,3.48661959579657
"Maip1",4.57681478215762,4.62560717277997,4.65427179979694,4.71653861120056,4.71994039605058,4.60861908429662
"Spats2l",3.39033161132656,3.30972428384785,2.61979119336689,2.90360065398042,3.58168526945502,3.77654619601075
"Kctd18",2.7115992619406,2.3830055180795,3.09751622448616,1.99992710053569,3.09766450340868,2.26114355753582
"Sgo2a",4.19815809425519,3.65549149184337,4.68466872926974,4.38894545017892,4.37487609571907,4.27849863265946
"Aox1",3.39033161132656,3.86940851528115,3.30741377857489,3.03201972591611,3.25327912308857,3.39182608652142
"Bzw1",7.1083389487837,7.03079038982588,7.48434714208802,7.31812782146344,7.45554726904865,7.72705884782034
"Clk1",4.04608514966555,5.46451463441328,5.86850275783725,5.8373228242156,5.44015786208926,5.63524845146696
"Ppil3",4.04608514966555,3.95516966588638,3.30741377857489,4.5115083804662,4.07448014027016,4.04924353062138
"Nif3l1",5.80400668392194,5.82495654334991,6.03700944895395,5.62972223896423,5.82217967008622,5.76383698637809
"Orc2",5.47863575728871,5.29395774199379,5.63161397819402,5.2264212667466,5.23136210771748,5.35021716302942
"Hycc2",3.62315626135609,3.62964012329699,3.59031873076807,3.57226717255951,3.72153725497781,4.07997325789423
"Ndufb3",6.24427705928575,5.71861461729582,6.18787688935918,6.55606858984425,6.01395454529901,5.88189639649161
"Cflar",5.32660390938764,5.27740423537403,5.44000193609039,5.21744507110107,5.24996341573791,5.20443286077737
"Casp8",5.14599332357961,5.30216381016865,5.60801780214622,5.58156489248608,5.14455422634564,5.7254778371722
"Trak2",4.31685221977512,3.95516966588638,4.5590383736341,3.78162511139453,4.47314598267567,4.27849863265946
"Stradb",2.15437669260835,2.76186763734438,2.34319264003948,2.90360065398042,2.77696558888671,2.86565150151664
"Tmem237",4.99988033707812,5.40480080608781,5.63161397819402,5.58156489248608,5.4721977560105,5.2988929537939
"Als2",1.97345879758014,2.44360948334451,1.55065801426382,1.61869267375825,1.88181564207747,1.59053768549306
"Fzd7",1.65079592266726,1.05879712119898,2.26488201239723,2.08134159948079,2.29399398510588,2.26114355753582
"Sumo1",5.25902683898872,6.61600701020191,6.62799251646588,6.53092920593546,6.72540347889654,6.81748017677019
"Nop58",6.78707552496736,6.92317395208013,7.53944058942421,7.34516386953276,7.20929153604512,7.49021450284598
"Bmpr2",3.68331547694452,3.13698331674485,3.30741377857489,4.06791679932231,3.77389067211743,4.04924353062138
"Fam117b",4.60818935140623,3.99621125683959,4.78628111497501,4.38894545017892,4.17524017094674,4.27849863265946
"Wdr12",5.39115674172738,5.41996256825527,5.28990545498882,5.2530195509163,5.28646162882721,5.19041915071836
"Carf",2.15437669260835,1.67903314936563,1.08761985720896,2.15840608504692,1.97421078844853,1.89702919456543
"Gm15464",7.892822275041,7.1940310488947,6.97402028322924,7.92446649350669,7.67790542036832,7.84357187852216
"Nbeal1",5.33600447457976,4.76274350501593,4.66955031924042,5.15299753581407,5.23136210771748,4.78683466724204
"Cyp20a1",5.88948790648368,5.70010314699702,6.25017747690308,6.30806880571284,5.9241497961063,5.71572654242011
"Raph1",5.58496304313118,4.83239144569612,5.18749084901364,5.44980396348918,5.14455422634564,5.45942686884235
"Pard3b",1.97345879758014,1.86778119808812,2.61979119336689,2.76262365282898,2.61420386244963,1.59053768549306
"Gm11599",4.75557700099603,4.38414431891964,5.08865797179699,4.34015994428724,4.71994039605058,3.88493568129438
"Nrp2",5.43555919332929,5.25221230513331,5.51803856334889,4.95121076644112,4.77235075256614,4.97843240861781
"Ino80d",4.90200770601805,4.82101445441772,4.28918600731575,4.96199933240135,4.69300349422972,4.92865055058477
"Ndufs1",6.70963827690447,6.50663597504774,6.55582814074769,6.71757282262148,6.56381226466867,6.51979450146151
"Eef1b2",10.8494218331944,10.8520085378321,10.3367924188679,10.4003481886126,10.9854960029214,10.7451028668207
"Fastkd2",5.80400668392194,5.6750458090265,5.22933308693952,5.23534195922932,4.95349852843751,5.05776524516648
"Klf7",6.13542863976454,5.74293279260433,5.62379138906227,5.15299753581407,5.7191413032863,5.42393432071251
"Creb1",4.66896289256917,5.06235851095277,5.17683788492133,5.06566713695356,5.08363759142523,5.01069089893185
"Mettl21a",4.21863105094383,4.14961210187573,4.36622275364437,4.62446947624654,4.32311141101917,3.91932842976517
"2810408I11Rik",4.11323109646361,4.13130558597591,4.30883426331443,4.16448637276372,3.94347361123474,4.01784498138544
"Ccnyl1",5.20874294676488,5.47180803174384,5.2997581339186,5.86632560254576,5.2591748979359,5.21831175625244
"Fzd5",5.99413506541668,5.83064073142482,5.63161397819402,6.38624374864967,6.10872279463332,6.023002549485
"Plekhm3",2.45972491536399,1.95363631554836,2.09422497246909,2.08134159948079,2.06104310823683,1.75190720512167
"Idh1",5.32660390938764,6.68037935421134,6.73716086090572,6.98154857235529,6.41515885737772,6.96882222808503
"Pikfyve",4.19815809425519,3.97583639963691,4.28918600731575,4.34015994428724,4.15564329062827,4.07997325789423
"Rpe",3.85006333198777,3.57650478091466,3.38350838693511,3.73206443733977,3.74795142969877,3.73852795430435
"Acadl",6.45307617735315,6.78362289672534,6.92393550497836,7.1747816784805,6.88565133914856,7.04867087915466
"Gm15793",6.01769272513373,6.19911277715674,6.68924196943343,5.56042355145008,5.85899767636053,6.66367750465115
"Lancl1",5.02334512651973,4.54492015431582,5.1223601810901,5.04552096477002,4.66555406237338,4.71033155227969
"Ikzf2",1.65079592266726,1.95363631554836,1.67698912642695,0.746501002068955,0.319524666086935,0.298093247262398
"Bard1",3.11256417994624,3.02245021917611,3.0041876367345,3.03201972591611,3.01307368512273,2.5516320406801
"Atic",6.94899344354661,7.5463690157257,6.80445183200537,7.02849294147573,7.04858075370166,6.8972932429965
"Fn1",6.65810396720432,6.58271068421537,6.83526319740883,5.84317021135756,5.79710174551054,5.71572654242011
"Pecr",3.31627310827046,3.0616469359772,2.48811059456933,2.90360065398042,2.4307167545531,3.06314184387745
"Xrcc5",6.03511191544451,6.01167422426994,5.96453558376558,5.98214509704904,5.82838162554315,5.79195151873321
"Smarcal1",4.54474270716487,4.51698951882692,4.47457427348072,4.96199933240135,3.98847728836592,4.35587397677591
"Rpl37a",10.9805152822715,11.0999918875965,11.6784562518716,11.3906204007145,11.1472632653567,11.3666040142975
"Igfbp5",4.11323109646361,4.07494959637726,3.88025005640863,6.40613095793948,6.36057155966839,6.00710051011473
"Tns1",2.45972491536399,3.20858016015613,2.61979119336689,2.60636380966635,3.01307368512273,3.23682416611747
"Arpc2",10.0956706366494,10.0888153573879,10.1879071631389,10.1160499556536,9.88682622695225,10.0855080643852
"Aamp",7.60860327441205,7.85604861881706,8.01208297530206,7.0863367286116,7.57469995070578,7.59499345983201
"Pnkd",6.6987491255418,6.52428130282436,6.50988217992147,5.99795705175817,6.4991951938401,6.49149986859166
"Tmbim1",7.72587394215395,7.78902126755642,7.2680355788672,7.33274861941,7.43333971175898,7.44075742975412
"Ctdsp1",6.23927584969704,6.46703943431218,6.08907138109168,5.78360164625171,6.13397896019733,6.11490080974616
"Vil1",4.75557700099603,5.19166185345515,5.34803680144333,5.7022927558105,6.03018789244647,6.18017597403741
"Usp37",4.31685221977512,4.09398058115341,3.85374245745196,3.82953962911494,4.30543537949346,3.84970297115924
"Cnot9",5.03493593929583,5.12845831927477,4.45707141132864,4.82688540923949,5.28646162882721,4.78683466724204
"Zfp142",3.99951966097768,4.50281877172563,3.52462172270805,3.39253986665381,4.30543537949346,3.73852795430435
"Bcs1l",4.02299026992213,4.41474059923109,3.88025005640863,4.45152805280791,4.26942003612973,3.91932842976517
"Rnf25",4.69841583419785,4.6769957614538,4.54253652981736,4.67779757387064,4.55021509866088,4.04924353062138
"Stk36",1.38702636238591,1.86778119808812,1.08761985720896,1.50526006255554,1.97421078844853,1.75190720512167
"Ttll4",5.05784188428917,4.82101445441772,3.95697017462864,4.65137991497676,4.21365298442574,4.25175635245653
"Nhej1",3.46077334248254,3.70584472554122,3.42010166972651,3.48520045842633,3.77389067211743,3.69948066809513
"Cnppd1",5.58496304313118,6.1769721321989,6.27536243564858,6.26515703254639,5.79076355461095,6.15152876563874
"Retreg2",5.85066334882345,6.08008232898273,5.99517666911995,6.21643141917483,5.80341221259604,6.13698898352472
"Zfand2b",4.47837694655036,4.73875975044273,4.77219593210486,4.3066949743307,4.79785881386406,4.6501684656572
"Abcb6",4.837284312612,5.30216381016865,5.38552922117755,4.65137991497676,5.32205922454137,4.89448196198956
"Atg9a",5.42678735790173,5.88081508595976,6.1060160686034,5.80173188301113,5.57167019228554,5.5500144314377
"Stk16",6.55722109044187,6.77775002387036,6.39508642513864,5.95540052444387,6.6677720422108,6.55849726032932
"Tuba4a",7.80416157802284,7.78756076712739,7.52060692738385,6.76454733899629,7.37944893630767,7.26803638867689
"Dnajb2",3.71247978713511,3.49294183855429,3.42010166972651,3.22351207179882,3.13816984764143,2.71716870995527
"Ptprn",7.11381439562407,7.07216544536627,6.6627647084875,6.53815669818468,6.82180751337226,6.74262744313274
"Dnpep",7.04955605950969,6.89089205945602,6.36724570366083,6.70799155008414,6.86468242479082,6.84457810924263
"Gmppa",5.011660436811,4.86599381650217,3.88025005640863,3.68074045923304,4.84756053494529,4.38077026398047
"Chpf",5.69133210851241,5.53584069379043,5.3385094520689,4.0877547688899,5.42386707062135,5.02655362911235
"Stk11ip",3.95140091689552,3.52133734976069,3.90627938787231,3.42409263347983,3.01307368512273,2.86565150151664
"Slc4a3",2.31511418741164,2.89803431912138,2.41747046930884,1.99992710053569,2.14294457347419,2.36460956107877
"Epha4",6.50400468036758,6.59945490187443,6.76231889709604,6.35384275742408,6.27688034985234,6.38478231164646
"Sgpp2",3.11256417994624,2.3830055180795,2.85179480174196,3.92084369475952,3.6107612760736,3.81358824190298
"Farsb",7.32917509209075,7.05527211623312,6.93977458292709,7.23606386576085,6.87370644711023,7.1499016453807
"Acsl3",5.34534418225382,5.86981505793397,6.22454504420986,6.55606858984425,6.45978773813769,6.74262744313274
"Utp14b",1.65079592266726,2.44360948334451,2.00067616662666,1.72385304881176,2.61420386244963,2.36460956107877
"Ap1s3",2.31511418741164,1.46182044596844,2.09422497246909,2.30118652876018,1.67712143312687,0.298093247262398
"Wdfy1",2.7115992619406,2.89803431912138,3.30741377857489,2.85812197101676,2.67052286793163,3.4400012622036
"Mrpl44",5.9458333454686,5.875325555826,6.10038992361331,6.06953777172423,6.00850258332282,5.82860508381148
"Cul3",5.86372130312549,5.79619473611741,6.27536243564858,5.9059742355018,5.95281890051292,5.9332891194322
"Irs1",2.82276105642206,2.89803431912138,3.42010166972651,2.49191803128121,2.96884255183585,3.00026837539876
"Rhbdd1",4.04608514966555,4.23781438138332,5.03067673132634,4.66464921137371,3.77389067211743,4.91166740943527
"Mff",6.89595518406746,6.95994529871796,7.33903093780952,6.65910681900525,6.77441058738834,6.75219919342712
"Tm4sf20",2.06675183851924,2.44360948334451,0.401581688270719,3.65437712842519,3.09766450340868,2.71716870995527
"Agfg1",6.15680470445948,6.52076946037513,6.51412007830454,6.60162470281979,6.41927356016365,6.6225209422486
"Ccl20",5.49551258500724,5.47906474343239,5.3095439815471,5.07563569842688,4.90737253935989,4.91166740943527
"Daw1",0.870561070447464,1.86778119808812,1.79314311508787,1.24752811150876,1.78309583063871,0.957808596739451
"Gm51636",3.39033161132656,3.40423961258943,3.14200996163758,3.65437712842519,3.72153725497781,3.18122132528013
"Trip12",6.57320814485144,6.49236265882815,6.35784477779751,6.58427294166879,6.45978773813769,6.61204569612304
"Fbxo36",1.87371322506317,2.25358008780342,2.00067616662666,1.61869267375825,1.43850534879403,1.89702919456543
"Cab39",6.49982863587942,6.2926865890626,5.90122913187521,6.62557181390816,6.43561601068617,6.08491380654158
"Itm2c",6.49144010690611,6.19029725147395,6.50988217992147,6.65578817978089,6.4027438637858,6.43318935972512
"Psmd1",8.083481515515,8.05489726887857,8.2643581492788,8.17336074861618,7.99979239016098,7.97200082828035
"Armc9",2.06675183851924,2.94070961633268,2.85179480174196,2.81116284931578,3.05598899153694,3.18122132528013
"Ncl",9.9620348328995,10.0784015531227,10.4555802910519,10.0600365441215,9.77527837220274,9.73471436364493
"Ptma",10.80674448648,10.7119754035106,10.6199268921774,10.7163037520154,10.5559392732848,10.4951581963961
"Pde6d",5.58496304313118,5.52185480082425,5.92688601578657,5.46505256087122,5.39908068853033,5.13296207077067
"Cops7b",4.35434177115047,4.18554265395136,3.79921981219419,3.51481038228478,4.2324825384064,4.40524419928827
"Gm29371",4.11323109646361,4.25482572805176,3.79921981219419,4.14568266988757,4.09520299641377,4.11006206315437
"Alpi",0.64711639856469,-0.0525134349751261,1.25901527761821,3.11169170889603,3.01307368512273,2.02887820960346
"Eif4e2",7.27400017526744,7.27130125152663,7.44936714754227,7.50861291629948,7.38787198446027,7.35854762786143
"Gigyf2",4.9394923074343,4.53102242779767,4.52584374841379,5.1809711580329,4.83529470492732,4.84166210029067
"Ngef",4.33571876642619,3.89133146454953,3.98166293942722,4.27243527477936,4.03211947651929,4.22450899127335
"Neu2",1.65079592266726,1.67903314936563,1.08761985720896,0.933517335889103,2.29399398510588,2.02887820960346
