"","control_1.bam","control_2.bam","control_3.bam","knockdown_1.bam","knockdown_2.bam","knockdown_3.bam"
"Gm33147",0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0
"Kcnq5",1,3,1,2,1,1
"Gm53539",0,0,0,0,1,0
"Rims1",0,0,0,0,0,0
"Gm7759",0,0,0,0,0,0
"Gm7761",0,0,0,0,0,0
"Ppp1r14bl",0,0,0,0,0,0
"Gm30442",0,0,0,0,0,0
"Gm29506",1,0,0,0,0,0
"Gm24176",0,0,0,0,0,0
"Gm53541",16,9,14,12,13,7
"Mir30a",0,0,0,0,0,0
"Mir30c-2",0,0,0,0,0,0
"Ogfrl1",27,41,33,38,27,26
"Gm19673",0,0,0,0,0,0
"Gm28822",0,0,0,0,0,0
"B3gat2",0,0,0,0,1,0
"Smap1",276,211,310,217,334,175
"Gm53062",0,0,0,0,0,0
"Sdhaf4",134,97,121,141,115,85
"Fam135a",23,52,69,88,48,63
"Gm30756",1,1,1,0,0,0
"Col9a1",0,0,0,0,0,0
"Col19a1",0,0,0,0,0,0
"Gm26418",0,0,0,0,0,0
"Lmbrd1",41,80,103,125,84,57
"Gm9443",0,0,0,0,0,0
"Gm29414",0,0,0,0,0,0
"Adgrb3",0,0,0,0,0,0
"Gm20172",0,0,0,0,0,0
"Gm22260",0,0,0,0,0,0
"Gm25294",0,0,0,0,0,0
"Gm9884",0,0,0,0,0,0
"Gm39614",0,0,0,0,0,0
"Gm31076",0,0,0,0,0,0
"Gm24064",0,0,0,0,0,0
"Gm31136",0,0,0,0,0,0
"Spata31e2",0,0,0,0,0,0
"n-R5s209",0,0,0,0,0,0
"Gm5524",0,0,0,0,0,0
"Gm7846",38,53,23,47,22,23
"Spata31e5",0,0,0,0,0,0
"Gm45942",0,0,0,0,0,0
"Gm6462",0,0,0,0,0,0
"Mir6342",0,0,0,0,0,0
"Gm31465",0,0,0,0,0,0
"Gm31525",0,0,0,0,0,0
"Gm39615",0,0,0,0,0,0
"Gm31581",0,0,0,0,0,0
"Gm46086",0,0,0,0,0,0
"Gm9898",0,0,0,0,0,0
"Gm57566",0,0,0,0,0,0
"Gm2914",0,0,0,0,0,0
"Phf3",173,229,191,242,226,152
"Ptp4a1",142,145,219,179,201,177
"Gm53209",0,0,0,0,0,0
"Gm9458",0,0,0,0,0,0
"Gm29669",0,0,0,0,0,0
"Gm28644",0,0,0,0,0,2
"4931428L18Rik",0,0,0,0,0,0
"Lgsn",0,2,0,1,0,1
"Dnaaf6rt",0,0,0,0,0,0
