NM_001426699.1,115.4,0,201.9,11077698.022,23.4,3.68,6.36,2.0e-10,7.9e-06,0,0,0,0,0,351.2,0,456.4,0
NM_007483.3,892.3,715.4,1025,1.434,0.5,0.1,5.43,5.6e-08,2.2e-03,0,0,756.2,671.5,718.6,992.7,946.9,1080.5,1079.7
NM_007664.5,286,142.8,393.4,2.762,1.5,0.24,6.14,8.4e-10,3.3e-05,0,0,139.2,175.1,114.1,436.4,427.9,300.2,409.1
NM_007823.3,88.2,168.2,28.2,0.167,-2.6,0.5,-5.14,2.7e-07,1.1e-02,0,0,220.4,114.6,169.5,27.3,38.6,35.7,11.1
NM_007993.2,5389.4,7704.4,3653.2,0.474,-1.1,0.12,-9.02,1.8e-19,7.2e-15,0,0,7605.1,7623,7885.2,3176.9,3471,4269.7,3695.2
NM_008489.2,2574.3,3815.9,1643.1,0.431,-1.2,0.22,-5.49,3.9e-08,1.6e-03,0,0,3959.8,3241.4,4246.5,1376.6,1431.9,2252.1,1511.9
NM_008549.2,1024,1344.6,783.5,0.582,-0.8,0.09,-8.84,9.5e-19,3.8e-14,0,0,1296.6,1278.7,1458.4,743.5,818.7,792.4,779.5
NM_008788.2,5973.2,7819.2,4588.7,0.587,-0.8,0.13,-6.06,1.3e-09,5.3e-05,0,0,7174.4,8024.9,8258.4,4650.2,3880.3,5238.6,4585.6
NM_008855.2,21.6,4.2,34.7,8.196,3,0.59,5.13,2.9e-07,1.2e-02,0,0,5.5,3.8,3.3,35.8,43.3,22.9,36.9
NM_008964.4,44.3,16.3,65.3,4.087,2,0.38,5.28,1.3e-07,5.2e-03,0,0,15.7,20.2,13,61,51,62.5,86.8
NM_009026.5,67.6,116,31.2,0.272,-1.9,0.29,-6.42,1.3e-10,5.4e-06,0,0,132.8,113.4,101.8,25.2,32.4,39.5,27.7
NM_009035.5,18,41.9,0,0.004,-7.8,1.51,-5.19,2.1e-07,8.3e-03,0,0,23.1,25.2,77.4,0,0,0,0
NM_009598.3,899.7,1492.5,455,0.305,-1.7,0.32,-5.38,7.3e-08,2.9e-03,0,0,1640.5,1104.8,1732.2,342.8,531.4,629.2,316.8
NM_009760.4,277.9,134,385.8,2.896,1.5,0.29,5.32,1.0e-07,4.0e-03,0,0,129.1,177.6,95.3,430.1,335.2,462.8,314.9
NM_009780.2,7597.2,12941.4,3589.2,0.277,-1.9,0.35,-5.26,1.4e-07,5.7e-03,0,0,16519.7,9079.3,13225.2,2203.1,4433.3,5027,2693.2
NM_010104.4,91.7,163.1,38.3,0.233,-2.1,0.38,-5.51,3.7e-08,1.5e-03,0,0,202,107.1,180.1,46.3,43.3,39.5,24
NM_010441.3,44.3,11,69.3,6.307,2.7,0.4,6.71,1.9e-11,7.6e-07,0,0,15.7,10.1,7.3,81,61.8,66.9,67.4
NM_010560.3,977.5,1289,744,0.577,-0.8,0.13,-6.33,2.4e-10,9.5e-06,0,0,1336.2,1310.2,1220.5,628.9,823.3,794.9,728.7
NM_010809.3,1028.1,1527.6,653.5,0.428,-1.2,0.24,-5.17,2.3e-07,9.2e-03,0,0,1220.9,1462.6,1899.2,512.1,664.2,828.1,609.6
NM_010930.5,359.3,542.6,221.9,0.408,-1.3,0.22,-5.8,6.7e-09,2.7e-04,0,0,545.9,405.7,676.2,218.7,228.6,243.5,196.7
NM_011049.6,226.9,0,397,12953470.475,23.6,3.68,6.42,1.3e-10,5.3e-06,0,0,0,0,0,750.8,837.2,0,0
NM_011141.2,137.6,208.6,84.3,0.405,-1.3,0.24,-5.4,6.7e-08,2.6e-03,0,0,197.3,249.4,179.2,66.3,94.2,96.3,80.4
NM_011401.5,115.4,54.8,160.8,2.951,1.6,0.26,6.04,1.5e-09,5.9e-05,0,0,46.1,69.3,48.9,151.4,194.6,138.3,158.9
NM_011595.2,7072.1,4134.8,9275.1,2.243,1.2,0.2,5.9,3.6e-09,1.4e-04,0,0,4199.5,4779.7,3425.2,8893.4,9588,7209,11409.9
NM_011693.3,357.5,244.3,442.5,1.815,0.9,0.17,5.1,3.3e-07,1.3e-02,0,0,259.1,226.8,246.9,409.1,372.3,472.4,516.3
NM_011782.2,220.4,371.1,107.3,0.288,-1.8,0.27,-6.78,1.2e-11,5.0e-07,0,0,360.6,283.5,469.3,103.1,126.7,115.4,84
NM_011843.2,986.7,1339.6,722,0.54,-0.9,0.16,-5.49,3.9e-08,1.6e-03,0,0,1339,1360.6,1319.1,601.5,701.3,898.2,687.1
NM_013655.4,167.1,106.7,212.3,1.998,1,0.17,5.94,2.8e-09,1.1e-04,0,0,118,110.9,91.3,207.2,208.5,206.5,227.2
NM_013865.2,14.6,33.9,0,0.005,-7.5,1.41,-5.33,9.7e-08,3.8e-03,0,0,20.3,30.2,51.3,0,0,0,0
NM_015774.3,377,173.9,529.3,3.062,1.6,0.19,8.45,3.0e-17,1.2e-12,0,0,179.8,211.6,130.4,510,528.3,545,533.8
NM_019389.2,48.1,112.2,0,0.002,-9.3,1.35,-6.89,5.7e-12,2.3e-07,0,0,51.6,200.3,84.7,0,0,0,0
NM_021385.2,20.9,0,36.5,202.072,7.7,1.33,5.77,8.1e-09,3.2e-04,0,0,0,0,0,54.7,29.3,24.2,37.9
NM_022004.6,1240.8,1848.9,784.8,0.425,-1.2,0.17,-7.46,8.7e-14,3.5e-09,0,0,1772.4,1717.1,2057.3,745.6,685.9,975.3,732.4
NM_022315.2,811.9,1213.5,510.7,0.421,-1.2,0.21,-5.92,3.1e-09,1.3e-04,0,0,1260.6,1019.2,1360.6,574.2,508.2,585.2,375
NM_022814.2,2338.9,4038.2,1064.4,0.264,-1.9,0.3,-6.31,2.9e-10,1.1e-05,0,0,4824.8,3328.4,3961.4,736.1,990.2,1631.9,899.6
NM_023149.3,525.8,764.9,346.6,0.455,-1.1,0.15,-7.52,5.4e-14,2.2e-09,0,0,776.5,731.9,786.2,344.9,292,415,334.3
NM_023734.3,173.9,257.1,111.6,0.435,-1.2,0.18,-6.58,4.7e-11,1.9e-06,0,0,275.7,265.8,229.8,132.5,97.3,106.5,109.9
NM_025483.4,16.9,39.4,0,0.005,-7.8,1.21,-6.41,1.5e-10,5.9e-06,0,0,38.7,37.8,41.6,0,0,0,0
NM_026242.3,1381.3,1149.2,1555.4,1.352,0.4,0.07,6.14,8.0e-10,3.2e-05,0,0,1173,1080.9,1193.6,1606.9,1493.7,1529.9,1591.3
NM_026931.3,456.1,245.5,614.1,2.509,1.3,0.2,6.61,3.9e-11,1.6e-06,0,0,198.3,289.8,248.5,615.2,600.9,724.1,516.3
NM_028133.2,386.8,103.5,599.2,5.81,2.5,0.43,5.96,2.5e-09,9.9e-05,0,0,121.7,144.9,44,606.8,622.5,441.8,725.9
NM_028179.1,227.6,149.2,286.4,1.925,0.9,0.14,6.76,1.4e-11,5.6e-07,0,0,151.2,156.2,140.1,310.2,270.3,268.4,296.5
NM_028469.4,26.5,0,46.3,257.204,8,1.51,5.32,1.1e-07,4.2e-03,0,0,0,0,0,81,12.4,58.6,33.2
NM_028643.4,95.1,0,166.4,3159995.362,21.6,3.3,6.54,6.1e-11,2.4e-06,0,0,0,0,0,336.5,329,0,0
NM_028820.2,245.9,176,298.4,1.693,0.8,0.15,5.12,3.1e-07,1.2e-02,0,0,188.1,180.2,159.7,269.2,330.6,286.2,307.6
