ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001003934.2,0,0,0,0,0,0
NM_001003939.2,1,2,1,0,1,0
NM_001003947.3,23.412,27.598,11.173,13.862,21.045,7.169
NM_001003948.2,0,0,0,1,2,1
NM_001003949.4,278.759,430,317,291,303,218
NM_001003950.3,75.088,41.377,61.15,59.933,35.3,52.135
NM_001003951.3,0,0,0,0,0,0
NM_001003952.1,0,0,0,0,0,0
NM_001003953.2,0,0,0,0,0,0
NM_001003955.2,0,0,0,0,0,0
NM_001003960.5,0,0,0,0,0,0
NM_001003961.5,0,0,0,0,0,0
NM_001003963.5,0,0,0,0,0,0
NM_001003972.2,0,0,0,0,0,0
NM_001003973.2,3.408,1.049,0,0,0,1.457
NM_001004025.4,0,0,0,0,0,0
NM_001004061.2,0,0,0,0,0,0
NM_001004062.3,0,0,0,0,0,0
NM_001004066.3,0,0,0,0,0,0
NM_001004139.3,8,3,2,4,5,3
NM_001004140.2,221.836,261,247,250,215.169,142
NM_001004141.2,0,0,0,0,0,0
NM_001004142.2,0,0,0,0,1.031,0
NM_001004143.4,211,249,128,183,235,155
NM_001004144.1,197,232,217,132,163,119
NM_001004145.3,0,0,0,0,0,0
NM_001004147.3,0,0,0,0,0,0
NM_001004148.5,0,0,0,0,0,0
NM_001004149.1,0,0,0,0,0,0
NM_001004150.4,0,0,0,0,0,0
NM_001004151.2,0,0,0,0,0,0
NM_001004152.3,0,0,0,0,0,0
NM_001004153.2,0,0,0,0,0,0
NM_001004154.2,0,0,1,4,2,1
NM_001004155.2,0,81,0,0,0,0
NM_001004157.2,0,0,0,0,0,0
NM_001004158.2,0,0,0,0,0,0
NM_001004159.2,0,0,0,0,0,0
NM_001004164.3,0,0,0,0,0,0
NM_001004173.2,0,0,0,0,0,0
NM_001004174.2,1,1,0,1,1,1
NM_001004176.3,29,43,21,35,23,24
NM_001004177.3,0,0,5,0,0,0
NM_001004178.1,4,1,0,0,1,1
NM_001004180.1,0,0,0,0,0,0
NM_001004182.4,0,0,0,0,0,0
NM_001004184.3,0,0,0,0,0,0
NM_001004185.4,0,0,0,0,0,0
NM_001004187.1,25.935,22.895,17.765,31.988,27.894,30.976
NM_001004190.3,3.836,4.869,11,3.605,16,7
NM_001004191.3,9,11,13,17,15,9
NM_001004192.2,0,0,0,0,0,0
NM_001004193.3,2.565,5.429,2.15,6.691,8.009,6.236
NM_001004194.2,0,0,0,0,0,0
NM_001004293.3,12.419,16,13.649,7.73,12.119,10
NM_001004357.2,0,0,0,0,0,0
NM_001004359.2,0,0,0,0,0,0
NM_001004361.2,0,17.131,4.841,0,22.323,4.402
NM_001004362.2,1.356,0,0,0,0,0
NM_001004363.2,0,0,0,0,0,0
NM_001004364.2,375.464,329.38,399.58,382.061,346.929,234.042
NM_001004365.3,0,0,0,0,0,0
NM_001004366.2,1,0,0,0,0,0
NM_001004367.4,0,1.75,0,2.349,0,1.901
NM_001004435.3,0,0,0,0,0,0
NM_001004436.4,0,0,182,0,0,0
NM_001004455.2,0,0,0,0,0,0
NM_001004468.3,0,0,0,0,0,0
NM_001004721.1,0,1.138,1.257,0,0,0
NM_001004761.1,0,0,0,0,0,0
NM_001004762.3,0,0,0,0,0,0
NM_001005223.3,110,102,91,115.832,110,79
NM_001005225.2,0,0,0,0,0,0
NM_001005227.2,0,0,0,0,0,0
NM_001005230.2,0,0,0,0,0,0
NM_001005232.1,0,0,0,0,0,0
NM_001005247.2,0,0,0,0,0,0
NM_001005248.2,0,0,0,0,0,0
NM_001005341.3,39,50,36,41,46,36
NM_001005342.2,0,0,0,0,0,0
NM_001005343.3,0,0,0,0,0,0
NM_001005358.2,0,0,0,0,0,0
NM_001005370.2,0,0,0,0,0,0
NM_001005371.4,0,0,0,0,0,0
NM_001005385.1,9,9,13,18,7,6
NM_001005419.2,100,162,99,122,109,106
NM_001005420.3,0,0,0,0,0,0
NM_001005421.4,2,0,1,0,0,0
NM_001005422.1,0,0,0,0,0,0
NM_001005423.3,1,2,1,0,0,0
NM_001005424.3,0,0,0,0,0,0
NM_001005425.2,0,0,0,0,0,0
NM_001005426.2,12.001,18,11.911,13,20,16
NM_001005475.3,0,0,0,0,0,0
NM_001005477.1,0,0,0,0,0,0
NM_001005481.1,0,0,0,0,0,0
NM_001005485.2,0,0,0,0,0,0
NM_001005488.1,0,0,0,0,0,0
NM_001005506.3,27.251,44.815,27.841,47.615,50.365,54
NM_001005507.2,142,146.879,0,116.427,135.498,80
NM_001005508.2,0,0,0,0,0,0
NM_001005509.3,59.184,104.829,125.471,190.695,167.53,55.969
NM_001005510.2,163,207,182,197,204,106
NM_001005511.4,0,0,0,0,0,0
NM_001005520.2,0,0,0,0,0,0
NM_001005524.2,0,0,0,0,0,0
NM_001005525.2,247.218,318.359,233.781,393.011,262.131,287.138
NM_001005568.1,0,0,0,0,0,0
NM_001005569.1,0,0,0,0,0,0
NM_001005570.2,0,0,0,0,0,0
NM_001005605.3,0,0,0,0,0,0
NM_001005608.3,0,0,0,0,0,0
NM_001005740.1,0,0,0,0,0,0
NM_001005748.2,0,0,0,0,0,0
NM_001005767.5,0,0,0,0,0,0
NM_001005784.1,2,2.577,4.127,0,1.211,0
NM_001005787.1,3.097,1,0,2.057,0,0
NM_001005788.3,0,0,0,0,1,0
NM_001005846.2,0,0,0,0,1,0
NM_001005847.3,0,155.767,18.952,52.027,13.174,0
NM_001005854.2,0,0,0,0,0,0
NM_001005858.3,0,0,0,1,2,0
NM_001005859.3,1288.967,1837.771,2296.665,2057.503,1820.718,1370.309
NM_001005860.2,0,0,0,0,0,0
NM_001005863.2,0,0,1.962,0,0,0
NM_001005864.3,0,0,0,0,0,0
NM_001005865.4,0,0,0,0,0,0
NM_001005867.2,0,0,0,0,0,0
NM_001005868.2,0,0,0,0,0,0
NM_001005916.2,33,49.082,34.991,47.009,38,34.059
NM_001006664.3,0,0,0,0,0,0
NM_001006668.2,0,0,0,0,0,0
NM_001006669.2,0,0,0,0,0,0
NM_001006674.2,0,0,0,0,0,0
NM_001007077.2,0,0,0,0,0,0
NM_001007154.3,0,0,0,0,0,0
NM_001007220.4,0,0,0,0,0,0
NM_001007221.4,0,0,0,0,0,0
NM_001007222.3,0,0,0,0,0,0
NM_001007223.4,0,0,0,0,0,0
NM_001007266.1,0,0,0,0,0,0
NM_001007268.2,0,0,0,0,0,0
NM_001007460.2,0,0,0,0,0,0
NM_001007461.2,2,1.298,0,1.957,5.539,0
NM_001007462.1,0,0,0,0,0,0
NM_001007463.2,0,0,0,0,0,0
NM_001007465.3,0,0,0,0,0,0
NM_001007472.2,0,0,0,0,0,0
NM_001007567.2,158,156,115.889,121.775,183,100
NM_001007568.2,10,15,9,8,20,10
NM_001007569.2,0,0,0,0,0,0
NM_001007570.2,15.396,29.45,9.004,24.325,34.301,18.001
NM_001007571.2,882.939,891.025,882.264,626.143,725.486,498.245
NM_001007572.2,0,0,0,0,0,0
NM_001007573.3,0,0,0,0,0,0
NM_001007575.2,11,4,15,10,11,2
NM_001007576.2,0,0,0,0,0,0
NM_001007577.2,1,3,3,2,0,0
NM_001007578.2,0,0,1,2,1,1
NM_001007579.3,0,0,0,1,0,0
NM_001007580.1,0,0,0,0,0,0
NM_001007581.2,32.005,57.392,19.479,27.596,30.729,32
NM_001007582.3,0,0,0,0,0,0
NM_001007583.1,0,0,0,0,0,0
NM_001007589.3,0,0,1.432,0,0,0
NM_001007596.2,0,0,0,0,0,0
NM_001008230.3,0,0,0,0,0,0
NM_001008231.2,0,0,0,0,0,0
NM_001008232.2,0,0,0,0,0,0
NM_001008233.3,0,0,0,0,0,0
NM_001008238.3,0,0,91.47,0,122.409,139.396
NM_001008419.2,0,0,0,1,0,0
NM_001008420.3,0,0,0,0,0,0
NM_001008421.1,193.062,238.594,212.13,278.404,226.498,147.678
NM_001008422.2,19,26.857,15,5.545,14,6
NM_001008423.2,0,0,0,0,0,0
NM_001008424.3,0,0,0,0,0,0
NM_001008425.2,0,7.703,0,0,0,0
NM_001008426.4,0,0,0,0,0,0
NM_001008427.2,0,0,0,0,0,0
NM_001008428.3,0,0,0,0,0,0
NM_001008429.1,0,0,0,0,0,0
NM_001008497.2,0,0,0,0,0,0
NM_001008498.2,80.915,72.378,58.057,85.273,44.148,44.958
NM_001008499.1,0,0,0,0,0,0
NM_001008501.3,0,0,0,0,0,0
NM_001008502.2,0,0,0,0,0,0
NM_001008506.2,0,0,0,0,0,0
NM_001008533.3,0,0,0,0,0,0
NM_001008542.3,27.718,11.991,4.441,4.463,4.483,12.788
NM_001008543.3,0,0,0,0,0,0
NM_001008545.2,0,0,0,34.619,0,52.932
NM_001008546.2,0,58.206,13.961,0,49.648,8.965
NM_001008547.2,0,0,0,0,0,0
NM_001008548.5,0,0,0,0,0,0
NM_001008549.2,0,0,0,0,0,0
NM_001008550.1,0,0,0,0,0,0
NM_001008700.4,281,437,269,242,308,213
NM_001008702.2,0,0,1,3,2,0
NM_001008705.2,329.754,438.066,436.418,481.896,359.628,295.953
NM_001008706.2,0,0,0,0,0,0
NM_001008785.5,0,0,0,0,0,0
NM_001008791.2,0,0,0,0,0,0
NM_001008792.2,0,0,0,0,0,0
NM_001008793.2,0,0,0,0,0,0
NM_001008973.2,0,0,0,0,0,0
NM_001009545.1,0,0,0,0,0,0
NM_001009546.2,4.006,10.004,0,3,3.011,1.001
NM_001009547.2,0,0,0,0,0,0
NM_001009548.2,0,0,0,0,0,0
NM_001009549.2,0,0,0,0,0,0
NM_001009550.2,0,0,0,0,0,0
NM_001009573.2,0,0,0,0,0,0
NM_001009574.1,0,0,0,0,0,0
NM_001009575.6,3,8,16,13,8,8
NM_001009818.2,132.957,138.668,84.843,144.392,147.953,121.329
NM_001009819.2,0,1,2,0,2,1
NM_001009927.2,13,16,16,19,13,8
NM_001009929.3,0,0,0,0,0,0
NM_001009930.3,0,0,0,0,0,0
NM_001009935.2,0,0,0,0,0,0
NM_001009940.2,0,0,0,0,0,0
NM_001009947.3,0,0,0,0,0,0
NM_001009948.2,0,0,0,0,0,0
NM_001009949.3,161.213,195.317,142.233,242.279,175.131,142.024
NM_001009950.2,0,0,0,0,0,0
NM_001009951.1,11.838,25.223,15.878,25.085,23.092,11.039
NM_001009952.2,0,0,0,0,0,0
NM_001009978.2,1,0,0,0,0,0
NM_001009979.2,0,0,0,0,0,0
