ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001100449.2,0,0,0,0,0,0
NM_001100451.2,53,68,57,66,59,26
NM_001100452.2,70.509,75.406,35.253,63.384,59.435,27.878
NM_001100454.1,1,1,1,1,1,1
NM_001100455.2,0,0,0,0,0,0
NM_001100458.1,0,0,0,0,0,0
NM_001100460.1,36,43,26,31,25,21
NM_001100461.3,0,1,0,0,0,0
NM_001100462.1,0,0,1,0,1,0
NM_001100464.2,0,0,0,0,0,0
NM_001100465.1,0,0,0,0,0,0
NM_001100466.1,0,0,0,0,0,0
NM_001100591.1,0,126.776,0,131.024,0,0
NM_001100606.1,34,45,28,28,32,11
NM_001100609.1,0,0,0,0,0,0
NM_001100610.2,0,0,0,0,0,0
NM_001100614.1,0,0,0,0,0,0
NM_001100616.1,0,0,0,0,0,0
NM_001101038.2,0,0,0,0,0,0
NM_001101430.2,14.363,26.167,52.702,2.607,38.785,25.657
NM_001101431.1,26,37,27,20,24,13
NM_001101433.2,2,7,10,7,0,3
NM_001101443.1,0,0,0,0,1,0
NM_001101445.2,0,0,0,0,0,0
NM_001101450.1,0,0,0,0,0,0
NM_001101452.1,0,0,0,0,0,0
NM_001101453.3,0,0,0,0,0,0
NM_001101461.2,0,0,0,0,0,0
NM_001101463.1,0,0,0,0,0,0
NM_001101464.1,0,0,0,0,0,0
NM_001101467.2,0,0,0,0,0,0
NM_001101471.1,1,0,1,1,0,0
NM_001101472.2,0,0,0,0,0,0
NM_001101475.2,0,0,0,0,0,0
NM_001101478.2,136.912,152.002,125.817,159.326,167.517,92.499
NM_001101479.2,0,0,0,0,0,0
NM_001101482.2,0,0,0,0,0,0
NM_001101483.1,3.473,0,0,3.048,5.311,0
NM_001101484.2,0,0,0,0,0,0
NM_001101486.2,0,0,0,0,0,0
NM_001101488.2,0,0,0,0,0,0
NM_001101501.2,0,0,0,0,0,0
NM_001101502.1,107,167,78,141,156,101
NM_001101503.2,0,0,0,0,0,0
NM_001101506.1,0,0,0,0,0,0
NM_001101507.1,4,3,1,1,1,1
NM_001101510.1,0,0,0,0,0,0
NM_001101516.2,0,0,0,0,0,0
NM_001101519.1,0,0,0,0,0,0
NM_001101531.1,0,0,0,0,0,0
NM_001101533.1,0,0,0,0,0,0
NM_001101534.1,0,0,0,0,0,0
NM_001101535.2,0,0,0,0,0,0
NM_001101546.3,0,0,0,0,0,0
NM_001101560.1,0,0,0,0,0,0
NM_001101561.2,4473.752,4409.317,1347.577,3043.471,4904.404,2658.522
NM_001101562.1,0,0,0,0,0,0
NM_001101572.1,0,0,0,0,0,0
NM_001101579.1,0,0,0,0,0,0
NM_001101585.1,0,0,0,0,0,0
NM_001101586.3,0,0,0,0,0,0
NM_001101588.2,0,0,0,0,0,0
NM_001101597.2,0,0,0,0,0,0
NM_001101598.1,46,38,24,41,38,18
NM_001101603.1,0,0,0,0,0,0
NM_001101605.1,0,0,0,0,0,0
NM_001101609.1,0,0,0,1,0,0
NM_001101613.1,0,0,0,0,0,0
NM_001101620.1,0,0,0,0,0,0
NM_001101623.1,0,0,0,0,0,0
NM_001101628.2,0,0,0,0,0,0
NM_001101630.1,0,0,0,0,0,0
NM_001101631.1,0,0,0,0,0,0
NM_001101640.1,0,0,0,0,0,0
NM_001101647.2,1,0,0,0,2,0
NM_001101656.2,0,0,0,0,0,0
NM_001101657.2,0,0,0,0,0,0
NM_001102400.1,0,0,0,0,0,0
NM_001102404.1,0,0,0,0,0,0
NM_001102405.1,0,0,0,0,0,0
NM_001102407.1,646.112,190.047,537.51,679.912,587.494,461.041
NM_001102409.1,0,0,0,0,0,0
NM_001102410.1,0,0,0,0,0,0
NM_001102411.1,0,0,0,0,0,0
NM_001102412.1,0,0,0,0,0,0
NM_001102414.1,0,0,0,0,0,0
NM_001102415.1,0,0,0,0,0,0
NM_001102423.1,0,206.76,247.156,0,240.149,0
NM_001102424.1,0,0,0,0,0,0
NM_001102425.1,0,0,0,0,0,0
NM_001102430.1,226,250,264,344,281,132
NM_001102436.2,0,0,0,0,0,0
NM_001102437.1,0,0,0,0,0,0
NM_001102438.1,19,47,55.494,83.571,60,66
NM_001102444.2,0,0,0,0,0,0
NM_001102446.2,0,0,0,0,0,0
NM_001102455.2,0,0,0,0,0,0
NM_001102456.2,0,0,0,0,0,0
NM_001102457.4,0,0,0,0,0,0
NM_001102458.1,0,0,0,0,0,0
NM_001102468.1,0,0,0,0,0,2.033
NM_001102471.1,22.858,17.521,20,18,18.805,12.958
NM_001102474.2,0,0,0,0,0,0
NM_001102563.1,0,0,0,0,0,2
NM_001102565.1,68.714,72.476,77.542,65.371,78.688,53.645
NM_001102578.1,0,0,0,0,0,0
NM_001102579.1,0,0,0,0,0,0
NM_001102581.1,0,0,0,0,0,0
NM_001102584.1,0,0,0,0,0,0
NM_001102602.1,0,0,0,0,0,0
NM_001102607.1,0,0,0,0,0,0
NM_001102611.1,0,0,0,0,0,0
NM_001102613.1,12,24,11,5,13,11
NM_001102615.2,0,0,0,0,0,0
NM_001102650.2,119.941,168,114.741,104.863,127,86
NM_001102660.1,0,0,0,0,0,0
NM_001102662.1,0,0,0,0,0,0
NM_001102665.1,0,0,0,0,0,0
NM_001102670.2,1,1,1,2,7,1
NM_001102677.2,0,0,0,0,0,0
NM_001102678.2,0,0,0,0,0,0
NM_001103152.1,0,0,0,0,0,0
NM_001103153.2,0,0,0,0,0,0
NM_001103156.2,0,0,0,0,0,0
NM_001103157.2,0,0,0,0,0,0
NM_001103158.2,0,0,0,0,0,0
NM_001103162.2,190,288,204,154,287,192
NM_001103165.2,0,0,0,0,0,0
NM_001103166.2,0,0,0,0,0,0
NM_001103168.1,3,3,3,4,3,3
NM_001103171.1,0,0,0,0,0,0
NM_001103177.3,0,0,0,0,0,0
NM_001103178.3,0,0,0,0,0,0
NM_001103179.1,0,0,0,0,0,0
NM_001103181.1,0,139.379,61.717,149.249,109.037,45.118
NM_001103182.3,0,0,0,0,0,0
NM_001103199.1,0,0,0,0,0,0
NM_001103365.1,0,0,0,0,0,0
NM_001103366.1,0,0,0,0,0,0
NM_001103367.1,2,1,0,5,2,7
NM_001103368.1,0,0,0,0,0,0
NM_001104525.1,0,0,0,0,0,0
NM_001104529.2,0,0,0,0,0,0
NM_001104530.1,0,0,7.418,7.23,0,0
NM_001104531.1,0,0,0,0,0,0
NM_001104537.1,0,0,0,0,0,0
NM_001104539.1,0,0,0,0,0,0
NM_001104542.1,0,0,0,0,0,0
NM_001104543.2,0,0,0,0,0,0
NM_001104550.1,0,0,0,0,0,0
NM_001104551.2,0,0,0,0,0,0
NM_001104556.1,0,0,0,0,0,0
NM_001104557.1,78.824,118,91.582,158.77,95,76
NM_001104562.1,0,0,0,0,0,0
NM_001104563.1,0,0,0,0,0,0
NM_001104564.1,0,0,0,0,0,0
NM_001104565.1,0,0,0,0,0,0
NM_001104566.1,0,0,0,0,0,0
NM_001104569.1,0,0,0,0,0,0
NM_001104570.1,0,0,0,0,0,0
NM_001104571.1,0,0,0,0,0,0
NM_001104572.1,0,0,0,0,0,0
NM_001104573.1,0,0,0,0,0,0
NM_001104575.1,0,0,0,0,0,0
NM_001104578.1,0,0,0,0,0,0
NM_001104579.1,0,0,0,0,0,0
NM_001104580.1,0,0,0,0,0,0
NM_001104581.1,0,0,0,0,0,0
NM_001104616.1,0,0,0,0,0,0
NM_001104617.1,38.119,28.989,15.126,6.173,56.184,14.444
NM_001104620.1,0,0,0,0,0,0
NM_001104621.1,0,0,0,0,0,0
NM_001104623.1,0,0,0,0,0,0
NM_001104624.1,0,0,0,0,0,0
NM_001104625.1,0,0,0,0,0,0
NM_001104626.1,0,0,0,0,0,0
NM_001104628.1,0,0,0,0,0,0
NM_001104632.1,0,0,0,0,0,0
NM_001104634.1,0,0,0,0,0,0
NM_001104635.1,0,0,0,0,0,0
NM_001104637.1,0,0,0,0,0,0
NM_001104638.1,0,0,0,0,0,0
NM_001104639.1,0,0,0,0,0,0
NM_001104641.1,0,0,0,0,0,0
NM_001104642.1,0,0,0,0,0,0
NM_001104644.2,0,0,0,0,0,0
NM_001104645.1,0,0,1,1,0,1
NM_001104646.1,76,100,71,113,64.848,67
NM_001104648.1,0,0,0,0,0,0
NM_001104927.2,0,0,0,0,0,0
NM_001104946.2,0,0,0,0,0,0
NM_001105055.1,0,0,0,0,0,0
NM_001105056.1,0,0,0,0,0,0
NM_001105057.1,0,0,0,0,0,0
NM_001105058.1,0,0,0,0,0,0
NM_001105059.1,0,0,0,0,0,0
NM_001105060.1,0,0,0,0,0,0
NM_001105063.1,0,0,0,0,0,0
NM_001105065.2,0,0,0,0,0,0
NM_001105066.1,0,0,0,0,0,0
NM_001105067.1,0,0,0,0,0,0
NM_001105068.1,0,0,0,0,0,0
NM_001105070.1,0,0,0,0,0,0
NM_001105071.1,0,0,0,0,0,0
NM_001105072.1,0,0,0,0,0,0
NM_001105073.1,0,0,0,0,0,0
NM_001105074.1,0,0,0,0,0,0
NM_001105075.1,0,0,0,0,0,0
NM_001105076.1,0,0,0,0,0,0
NM_001105151.1,0,0,0,0,0,0
NM_001105152.1,0,0,0,0,0,0
NM_001105156.1,0,0,0,0,0,0
NM_001105159.1,0,0,0,0,0,0
NM_001105160.1,0,0,0,0,0,0
NM_001105178.1,0,0,0,0,0,0
NM_001105179.1,0,0,0,0,0,0
NM_001105180.1,0,0,0,0,0,0
NM_001105181.1,0,0,0,0,0,0
NM_001105182.1,0,0,0,0,0,0
NM_001105186.1,0,0,0,0,0,0
NM_001105188.1,0,0,0,0,0,0
NM_001105189.1,0,0,2,0,1.002,3
NM_001105190.1,2,0,0,1,0.998,2
NM_001105191.1,0,0,0,0,0,0
NM_001105196.1,0,0,0,0,27.239,0
NM_001105197.1,0,0,0,0,0,0
NM_001105201.1,0,0,0,0,0,0
NM_001105245.1,0,0,0,0,0,0
NM_001105246.1,0,0,0,5,0,0
NM_001105252.1,0,0,0,0,0,0
NM_001105254.1,0,0,0,0,0,0
NM_001105557.2,2.123,0,0,0,0,0
NM_001105561.1,0,0,0,0,0,0
NM_001105667.1,316.345,327.272,443.467,498.482,345.145,191.581
NM_001109040.2,0,0,0,0,0,0
NM_001109041.2,0,0,0,0,0,0
NM_001109042.2,0,0,0,0,0,0
NM_001109043.1,0,0,1,0,0,0
NM_001109045.1,252,326,231,350,342,234
NM_001109626.1,0,0,0,0,0,0
NM_001109628.1,0,0,0,0,0,0
NM_001109657.4,0,0,0,0,0,0
NM_001109661.1,0,0,0,0,0,0
NM_001109684.2,0,0,0,0,0,0
NM_001109685.2,0,0,0,0,0,0
NM_001109686.2,27.615,0,0,0,0,0
NM_001109687.2,0,0,0,0,0,0
NM_001109688.2,0,0,0,0,0,0
NM_001109690.2,0,0,0,0,0,0
NM_001109691.1,0,0,0,0,0,0
NM_001109743.1,0,0,0,0,0,0
NM_001109745.1,304.407,100.824,0,702.79,825.323,140.975
NM_001109746.1,1563.176,1502.767,1511.562,1530.08,948.948,1019.052
NM_001109747.1,276.917,216.892,284.638,369,249.932,163
NM_001109748.1,0,0,0,0,0,0
NM_001109749.2,0,0,0,0,0,0
NM_001109750.1,280,294,177,227,210,156
NM_001109751.2,0,0,0,0,0,0
NM_001109752.1,0,0,1.081,0,0,0
NM_001109753.1,0,0,0,0,0,0
NM_001109756.1,0,0,0,0,0,0
NM_001109757.2,0,0,0,0,0,0
NM_001109758.2,0,0,0,0,0,0
NM_001109759.1,0,0,0,0,0,0
NM_001109761.2,0,0,1,0,0,0
NM_001109764.1,0,0,0,0,0,0
NM_001109765.2,0,0,0,0,0,0
NM_001109873.1,0,0,0,0,0,0
NM_001109897.2,0,0,2,1,2,2
NM_001109902.1,5,2,4,5,0,6
NM_001109905.2,0,0,0,0,0,0
NM_001109906.2,0,0,0,0,0,0
NM_001109909.1,73.755,95.723,13.234,0,0,0
NM_001109910.1,0,0,0,0,85.069,89
NM_001109913.1,922.387,1046,871,1029,890,655
NM_001109914.1,1,0,2,3,0,0
NM_001109969.2,0,0,0,0,0,0
NM_001109970.1,0,0,0,0,0,0
NM_001109971.1,0,0,20.478,10.63,0,28.663
NM_001109972.1,0,0,16.667,0,0,39.856
NM_001109973.2,0,0,0,0,0,0
NM_001109975.1,2,0,0,1,1,0
NM_001109985.3,4.454,8.766,0,0,8.026,4.182
NM_001109988.1,0,0,0,0,0,0
NM_001109989.2,0,0,11,0,0,0
NM_001109991.2,0,0,0,0,0,0
NM_001109992.1,373,381,356,446,309,230
NM_001109993.1,0,0,0,0,0,0
NM_001109995.1,0,0,0,0,0,0
NM_001110009.2,0,0,0,2,0,1
NM_001110013.1,58,35.868,16.904,47,42,20
NM_001110015.2,119.455,147.246,127.427,163.791,94.562,98.858
NM_001110016.2,0,3.656,1.338,2.53,0,2.515
NM_001110017.2,0,0,0,0,0,0
NM_001110100.2,0,28.526,32.414,0,0,0
NM_001110101.2,143.194,273.821,183.018,161.967,229.717,0
NM_001110129.1,10.231,13.402,9.516,18.12,20.384,7.2
NM_001110130.1,0,1.018,0,0,1.007,1.03
NM_001110133.2,0,0,0,0,0,0
NM_001110140.3,0,0,0,0,0,0
NM_001110142.1,0,0,0,0,0,0
NM_001110145.2,675.989,0,482.444,168.428,0,0
NM_001110146.1,0,3.834,0,1,2,0
NM_001110147.1,0,0,0,0,0,0
NM_001110148.1,0,0,0,0,0,0
NM_001110149.1,287.759,306.911,202.434,266.235,253.483,159.033
NM_001110150.1,0,0,0,0,0,0
NM_001110152.3,20.114,0,0,60.313,207,0
NM_001110159.1,0,0,0,0,0,0
NM_001110160.2,0,0,0,0,0,0
NM_001110162.1,0,0,0,0,0,0
NM_001110192.2,0,0,0,0,0,0
NM_001110193.2,0,0,0,2,0,0
NM_001110195.1,22,44.651,93,107.517,61,89.963
NM_001110196.1,0,0,5.891,0,0,0
NM_001110197.1,0,0,0,0,0,0
NM_001110198.1,0,0,0,0,0,0
NM_001110201.1,0,0,0,0,0,0
NM_001110202.2,0,0,0,0,0,0
NM_001110203.2,0,0,0,0,0,0
NM_001110204.1,0,0,0,0,0,0
NM_001110205.1,183.468,172.087,148.854,216.997,133.627,77.647
NM_001110208.2,0,0,0,0,0,0
NM_001110209.1,0,0,0,0,63,0
NM_001110211.2,0,0,0,0,0,0
NM_001110212.2,120,101,85,152,118,77
NM_001110214.1,0,5.765,4.078,4.979,12.295,2.015
NM_001110216.1,0,0,0,0,0,0
NM_001110218.1,0,0,0,1,0,0
NM_001110222.1,0,0,0,0,0,0
NM_001110223.1,0,0,0,0,0,0
NM_001110224.1,0,0,0,0,0,0
NM_001110227.2,0,0,0,0,0,0
NM_001110228.1,0,0,0,0,0,0
NM_001110229.2,0,0,0,0,0,0
NM_001110230.2,0,0,0,0,0,0
NM_001110231.2,0,0,0,0,0,0
NM_001110232.2,0,0,0,0,0,0
NM_001110233.1,0,0,0,0,0,0
NM_001110234.1,461.526,554,389.657,481.445,585.139,414
NM_001110239.1,0,55.143,0,0,139.422,110.364
NM_001110240.1,0,0,0,0,0,0
NM_001110242.1,254,344,416,298,253,177
NM_001110251.1,166.789,192.907,99.168,142.637,182.866,126.5
NM_001110252.2,0,0,0,0,0,0
NM_001110253.2,27.649,40,31,37,50,32
NM_001110254.1,0,0,0,0,0,0
NM_001110265.2,1.637,5.169,2.188,2.404,0,0
NM_001110266.1,0,0,0,0,0,0
NM_001110267.1,0,0,10.045,10.725,0,31.008
NM_001110268.1,168.206,314.725,116.298,205.948,235.344,158.18
NM_001110271.2,0,0,0,0,0,0
NM_001110272.2,0,0,0,0,0,0
NM_001110273.1,0,0,0,0,2,0
NM_001110274.1,0,0,0,0,0,0
NM_001110275.1,49,69.457,58.771,65,57.557,46.814
NM_001110276.1,2,0,0,2,3.149,1.02
NM_001110300.2,0,0,0,0,0,0
NM_001110305.1,0,0,0,0,0,0
NM_001110306.1,0,0,0,0,0,0
NM_001110307.1,234,309,246.639,296,298.643,176.816
NM_001110309.1,0,0,0,0,0,0
NM_001110310.2,1.062,2.295,3.394,1.09,2.247,5.994
NM_001110311.2,0,0,0,0,0,0
NM_001110315.3,0,0,0,0,1,0
NM_001110316.2,0,0,0,0,0,0
NM_001110320.2,0,0,0,0,0,0
NM_001110321.2,0,0,0,0,0,0
NM_001110322.2,0,0,0,0,0,0
NM_001110323.1,0,0,0,0,0,0
NM_001110327.2,0,0,0,0,0,0
NM_001110328.2,0,0,0,0,0,0
NM_001110329.1,0,0,0,0,0,24
NM_001110330.1,35,58.853,42,31.373,31.788,0
NM_001110331.1,192.843,0,0,0,0,0
NM_001110337.1,0,0,0,0,0,0
NM_001110338.1,0,0,0,0,0,0
NM_001110350.2,0,0,0,0,0,0
NM_001110351.2,0,0,0,0,0,0
NM_001110496.1,0,0,0,0,0,0
NM_001110497.1,11.419,0,12,10,17,0
NM_001110498.1,91.103,116.707,75.598,146.731,117.148,98.29
NM_001110499.1,0,0,0,59.426,41.221,0
NM_001110500.1,0,0,0,681.14,0,444.015
NM_001110504.1,165,217,166,144,160,103
NM_001110505.1,0,0,0,0,0,0
NM_001110506.2,0,0,0,0,0,0
NM_001110508.1,0,0,0,0,0,0
NM_001110512.3,0,0,0,0,0,0
NM_001110513.1,0,0,0,0,0,0
NM_001110515.2,143.637,163.833,73.298,120.393,141.215,81.343
NM_001110516.2,0,0,0,0,0,0
NM_001110517.1,0,0,0,0,0,0
NM_001110778.2,0,0,0,0,0,0
NM_001110779.2,0,0,0,0,0,0
NM_001110780.1,3,5,0,3,5,5
NM_001110783.3,0,0,0,0,0,0
NM_001110784.1,0,0,0,0,0,0
NM_001110791.2,0,0,0,0,0,0
NM_001110794.2,0,31.135,6.791,18.925,92.199,31.239
NM_001110796.2,4.719,2,1.331,1,4.938,2
NM_001110807.1,0,1,0,1.001,0,0
NM_001110809.2,644.564,755.565,694.336,761.311,659.309,375.558
NM_001110824.2,0,0,0,0,0,0
NM_001110825.2,0,0,0,0,0,0
NM_001110826.1,62.017,0,0,0,0,0
NM_001110827.3,0,0,0,0,0,0
NM_001110828.3,0,0,0,0,0,0
NM_001110829.3,0,0,0,0,0,0
NM_001110830.3,0,0,0,0,0,0
NM_001110831.2,0,0,0,0,0,0
NM_001110832.2,0,0,0,0,0,0
NM_001110843.1,0,0,0,0,0,0
NM_001110844.1,0,0,0,0,0,0
NM_001110845.1,0,0,0,0,0,0
NM_001110846.1,0,0,0,0,0,0
NM_001110849.1,0,0,0,0,0,0
NM_001110850.2,0,0,0,0,0,0
NM_001110851.1,0,0,0,0,0,0
NM_001110852.1,0,0,4,1,1,0
NM_001110853.2,0,0,0,0,0,0
NM_001110854.1,0,0,0,0,0,0
NM_001110855.1,13.804,33.318,25.382,13.797,0,0
NM_001110856.2,0,0,0,0,0,0
NM_001110857.2,0,0,0,0,0,0
NM_001110858.2,0,0,0,0,0,0
NM_001110859.2,0,0,0,0,0,0
NM_001111015.1,1,0,0,0,1,0
NM_001111016.1,35.209,31.319,40.369,27.151,17.132,14.16
NM_001111017.1,0,0,0,0,0,0
NM_001111021.2,0,0,0,0,0,0
NM_001111022.2,63.715,104.996,56.346,157.22,0,0
NM_001111023.2,0,0,0,0,0,0
NM_001111025.1,108,0,97,132,118,83
NM_001111026.2,0,0,0,0,0,0
NM_001111027.2,0,0,0,0,0,0
NM_001111028.1,0,0,0,0,12.565,0
NM_001111029.1,0,0,0,0,0,0
NM_001111030.1,0,0,0,0,0,0
NM_001111037.1,0,0,0,0,1,0
NM_001111043.2,0,0,0,0,0,0
NM_001111044.2,65,64,72,61,89,53
NM_001111048.2,0,0,0,0,0,0
NM_001111049.1,0,0,0,0,6.908,0
NM_001111050.1,744,769,586,632,619.092,446
NM_001111051.2,0,0,0,0,0,0
NM_001111052.2,0,0,0,0,0,0
NM_001111053.2,0,0,0,0,0,0
NM_001111058.1,0,0,0,0,0,0
NM_001111059.2,0,0,0,0,0,0
NM_001111060.3,0,0,0,0,0,0
NM_001111062.1,0,0,0,0,0,0
NM_001111063.1,711.844,739.667,551.57,767.892,698.788,449.689
NM_001111065.2,0,0,0,0,0,0
NM_001111066.1,0,0,0,0,0,0
NM_001111073.3,2.351,0,0,0,0,0
NM_001111075.4,266,293.575,203,205,202.997,103.972
NM_001111076.1,0,0,0,0,0,0
NM_001111078.2,0,0,0,0,0,0
NM_001111079.2,0,0,0,0,0,0
NM_001111080.2,284,256,189,172,192.272,104.179
NM_001111094.1,0,0,0,0,0,0
NM_001111096.2,0,0,0,0,0,0
NM_001111099.2,0,0,0,0,0,0
NM_001111100.1,0,296,265,507,497,313
NM_001111102.2,0,0,0,0,0,0
NM_001111106.2,38.501,31.633,0,0,70.797,0
NM_001111107.2,0,68.377,55.235,0,19.612,60
NM_001111110.2,0,0,0,0,0,0
NM_001111111.1,0,0,0,0,0,0
NM_001111118.2,0,0,0,0,0,0
NM_001111119.1,0,0,0,0,0,0
NM_001111121.2,0,0,0,0,0,0
NM_001111140.2,0,0,0,0,0,0
NM_001111141.2,0,0,0,0,0,0
NM_001111142.2,0,0,0,0,0,0
NM_001111143.1,0,0,0,0,0,0
NM_001111145.2,0,0,0,0,0,0
NM_001111267.2,0,0,0,0,0,0
NM_001111268.3,0,0,0,0,0,0
NM_001111272.1,0,0,0,0,0,0
NM_001111274.1,0,0,0,0,0,0
NM_001111275.2,0,0,0,0,0,0
NM_001111276.1,0,0,0,0,0,0
NM_001111277.2,0,0,0,6.987,0,0
NM_001111279.1,17.748,41.591,32.532,30.541,20.29,27.533
NM_001111286.2,0,0,0,0,0,0
NM_001111288.2,231,260,220.874,236,199,169.646
NM_001111289.2,0,0,0,0,0,0
NM_001111290.2,0,0,0,0,0,0
NM_001111291.2,0,0,0,0,0,0
NM_001111292.2,0,0,54.968,0,45.532,0
NM_001111293.1,0,0,0,0,0,0
NM_001111296.2,0,0,0,0,0,0
NM_001111304.1,0,0,0,0,1,0
NM_001111311.1,102.435,293.034,426.094,431.231,238.467,161.956
NM_001111312.1,60.849,73.233,79.55,94.79,60.927,0
NM_001111314.1,0,0,0,0,13.262,0
NM_001111316.3,0,0,0,0,0,0
NM_001111317.2,0,3,0,0,0,0
NM_001111318.1,0,0,0,0,0,0
NM_001111320.1,0,0,25.734,32.336,117.312,0
NM_001111324.2,0,0,0,0,0,0
NM_001111331.1,0,0,0,0,0,0
NM_001111336.1,0,0,0,0,0,0
NM_001112697.1,0,0,0,0,0,0
NM_001112698.2,47.973,61.969,63,64.923,50.918,44.813
NM_001112699.2,0,0,33,36.92,0,0
NM_001112700.2,0,0,0,0,0,0
NM_001112701.2,241,331,222,292.995,274,235
NM_001112702.1,0,0,0,0,0,0
NM_001112703.2,15.057,9.087,0,0,0,0
NM_001112705.2,0,0,0,0,0,0
NM_001112711.2,0,0,0,0,0,0
NM_001112714.2,0,0,0,0,93.76,0
NM_001112715.1,0,0,0,0,0,0
NM_001112721.2,30.048,33.047,14.293,39.628,46.661,35.946
NM_001112722.1,0,0,0,0,0,0
NM_001112723.1,12,9,7,4,6,2
NM_001112725.1,594.389,940.632,777.595,555.403,821.986,596.788
NM_001112731.1,0,0,0,0,0,0
NM_001112735.1,75,0,71,35,67,50
NM_001112738.1,0,1.755,0,0,1.746,0
NM_001112739.2,0,0,0,0,0,0
NM_001112744.1,0,0,0,0,0,0
NM_001112796.2,14.123,37,0,19.582,14.703,22.344
NM_001112798.2,0,0,0,0,0,0
NM_001112805.1,3,2,0,5,3,1
NM_001112813.2,0,0,0,0,0,0
NM_001113179.1,0,0,0,0,0,0
NM_001113180.2,0,0,0,0,0,0
NM_001113181.1,0,0,0,0,0,0
NM_001113187.1,0,0,0,0,0,0
NM_001113188.2,0,0,0,0,0,0
NM_001113189.2,0,0,0,0,0,0
NM_001113198.2,0,0,0,0,0,0
NM_001113199.1,0,1.082,2.22,0,0,1.082
NM_001113204.2,0,0,0,0,0,0
NM_001113208.1,0,0,0,0,0,0
NM_001113209.2,0,0,0,0,0,0
NM_001113210.2,0,0,0,0,0,0
NM_001113211.1,0,0,0,0,0,0
NM_001113213.2,0,0,0,0,0,0
NM_001113214.2,0,0,0,0,0,0
NM_001113238.1,0,0,0,0,0,0
NM_001113246.2,0,0,0,0,0,0
NM_001113248.2,565.583,659.687,503.714,818.907,720.818,464.9
NM_001113283.1,0,0,0,0,0,0
NM_001113323.1,0,0,0,0,0,0
NM_001113325.2,0,0,0,0,0,0
NM_001113326.2,0,0,0,0,0,0
NM_001113327.2,0,0,0,0,0,0
NM_001113330.1,0,0,0,0,0,0
NM_001113331.2,0,0,0,0,0,0
NM_001113346.1,426.665,435.399,297.609,208.697,413,270.378
NM_001113350.2,46,51,36.941,9,24,21
NM_001113351.1,0,0,0,0,0,0
NM_001113352.2,0,0,0,0,0,0
NM_001113353.2,0,0,0,0,0,0
NM_001113354.1,0,0,0,0,0,2.226
NM_001113355.1,0,0,0,0,0,0
NM_001113356.1,0,0,0,0,0,0
NM_001113358.1,479,1450,928,709.968,1177,810
NM_001113360.3,0,0,0,0,0,0
NM_001113362.1,0,0,0,0,0,0
NM_001113364.1,84,85,100,137,93,80
NM_001113367.3,0,0,0,0,0,0
NM_001113368.1,0,0,0,0,0,0
NM_001113369.1,0,0,0,0,0,0
NM_001113373.3,0,0,0,0,0,0
NM_001113374.2,0,0,0,0,0,0
NM_001113375.2,85.945,51.084,85.234,97.643,41.072,41.209
NM_001113379.2,0,0,0,0,0,0
NM_001113383.1,35.202,24.954,11.039,32.381,27.047,36.903
NM_001113384.2,0,0,0,1,1,0
NM_001113385.1,0,0,0,0,0,0
NM_001113386.1,0,0,0,0,0,0
NM_001113387.2,0,0,0,0,0,0
NM_001113388.2,0,1,0,0,1,3
NM_001113389.1,96.065,98.968,105,121,71.766,74
NM_001113391.2,0,0,0,0,0,0
NM_001113392.2,0,0,0,0,0,0
NM_001113393.2,0,0,0,0,0,0
NM_001113395.1,0,0,0,0,0,0
NM_001113399.1,1,0,1,0,0,0
NM_001113400.1,0,4,0,0,0,0
NM_001113401.1,0,0,0,0,0,0
NM_001113404.1,0,0,0,0,0,0
NM_001113405.1,0,0,0,0,0,0
NM_001113406.1,0,0,0,0,0,0
NM_001113408.3,0,0,0,0,0,0
NM_001113412.1,2.976,4.73,5,4,2.401,2
NM_001113413.3,0,0,0,0,0,0
NM_001113414.2,0,0,0,0,0,0
NM_001113415.2,0,0,0,0,0,0
NM_001113416.1,28.127,36.747,26.536,33.474,18.635,16.816
NM_001113417.2,0,0,0,0,0,0
NM_001113418.1,0,6,2,17,10,4
NM_001113419.2,0,0,0,0,0,0
NM_001113420.1,44.138,46,40.643,54,20,28
NM_001113421.1,0,0,0,0,0,0
NM_001113423.2,46.97,36.445,40.788,43.802,48.252,7.727
NM_001113424.1,64.039,109,78,90,87,63
NM_001113460.2,0,0,0,0,0,0
NM_001113461.2,0,0,0,0,0,0
NM_001113464.2,0,0,0,0,0,0
NM_001113468.1,0,0,0,0,0,0
NM_001113470.1,0,0,0,0,0,0
NM_001113471.1,0,0,0,0,0,0
NM_001113474.1,0,0,0,0,0,0
NM_001113478.2,0,0,0,0,0,0
NM_001113486.1,0,0,0,0,0,0
NM_001113487.1,0,0,0,0,0,0
NM_001113488.1,0,0,0,0,0,0
NM_001113514.1,0,0,0,0,0,0
NM_001113515.3,0,0,0,0,0,0
NM_001113517.2,0,0,0,0,0,0
NM_001113518.2,0,0,0,0,0,0
NM_001113527.1,0,0,0,0,0,0
NM_001113529.1,39,43,93,53,71,38
NM_001113530.1,0,0,0,0,0,0
NM_001113532.1,49.599,0,84.981,83.644,0,62.478
NM_001113533.1,31.401,0,17.019,9.533,0,5.522
NM_001113545.2,142.674,44.082,69.062,81.332,127.071,39.997
NM_001113549.1,125,127.021,79.754,26,52,47
